ms,cci,title,fund,category_of_region,year,dimension_type,dimension_code,dimension_title,eu_cofinancing_rate,total_eligible_costs_selected_fin_data,eu_eligible_costs_selected_fin_data_notional,total_elig_expenditure_declared_fin_data,eu_elig_expenditure_declared_fin_data_notional,reference_date
RO,2014RO16RFOP001,Competitiveness Programme - RO - ERDF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999986,147114376.86,125047220.33,11000429.23,9350364.85,2017-12-31T00:00:00.000
ES,2014ES16RFOP016,La Rioja  - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,4668926.32,2334463.16,2092741.7,1046370.85,2019-12-31T00:00:00.000
FR,2014FR05M0OP001,Île-de-France et Seine - ESF/ERDF/YEI,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,40,33709649.54,13483859.82,6364539.03,2545815.61,2018-12-31T00:00:00.000
FR,2014FR16M2OP006,Limousin - ERDF/ESF,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,54.52538631,3702019.4,2036110.67,771131,424122.05,2016-12-31T00:00:00.000
SE,2014SE16RFOP007,Central Norrland - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,,0,,0,,2018-12-31T00:00:00.000
FR,2014FR16M0OP003,Centre - ERDF/ESF/YEI,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,4867675.87,2433837.94,441937.46,220968.73,2016-12-31T00:00:00.000
ES,2014ES16RFOP003,Andalucía  - ERDF,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,304802046.43,243841637.14,151086493.43,120869194.74,2022-12-31T00:00:00.000
HU,2014HU16M0OP001,Economic Development and Innovation Programme - HU - ERDF/ESF/YEI,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999987,366806174.16,311785248.04,41808285.31,35537042.51,2018-12-31T00:00:00.000
FR,2014FR16M0OP014,Bourgogne - ERDF/ESF/YEI,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,31.35606904,428435.3,132814.94,200905.4,62280.67,2016-12-31T00:00:00.000
ES,2014ES16RFOP010,Castilla-La Mancha  - ERDF,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999956,43335182.27,34668145.82,17953268.65,14362614.92,2019-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,9232805.49,4616402.75,3730148.1,1865074.05,2022-12-31T00:00:00.000
IT,2014IT16M2OP001,Molise  - ERDF/ESF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,60,5322034.75,3193220.85,2979061.36,1787436.82,2021-12-31T00:00:00.000
ES,2014ES16RFOP005,Asturias  - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999464,7969465.33,6375572.26,6319406.99,5055525.59,2022-12-31T00:00:00.000
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,10409838,5204919,5862519.67,2931259.84,2021-12-31T00:00:00.000
ES,2014ES16RFOP014,Extremadura  - ERDF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,32079974.37,25663979.5,5192950.52,4154360.42,2017-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
ES,2014ES16RFOP018,Melilla  - ERDF,ERDF,Transition,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99984637,0,0,0,0,2018-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999946,110371575.29,88297260.23,61806073.32,49444858.66,2019-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,6836005.89,3418002.95,1369793.82,684896.91,2019-12-31T00:00:00.000
IT,2014IT16RFOP005,Bolzano - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,40719146.51,20359573.26,16732727.94,8366363.97,2021-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999937,66168383.92,52934707.14,39782655.45,31826124.36,2021-12-31T00:00:00.000
FR,2014FR16M2OP008,Pays de la Loire - ERDF/ESF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,36.61051205,108460794.58,40130493.99,44204307,16355593.59,2019-12-31T00:00:00.000
PL,2014PL16M2OP002,Kujawsko-Pomorskie Voivodeship - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999884,59313606.45,50416565.48,18673587,15872548.95,2020-12-31T00:00:00.000
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - CZ - ERDF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,60.57785159,524234366.41,319782963.51,298252820.17,181934220.3,2020-12-31T00:00:00.000
ES,2014ES16RFOP010,Castilla-La Mancha  - ERDF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999857,43844828.71,35075862.97,19815784.78,15852627.82,2020-12-31T00:00:00.000
FR,2014FR05M2OP001,Guadeloupe et St Martin - ESF/ERDF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,18.41544791,11337370.13,2040726.62,455313.17,81956.37,2020-12-31T00:00:00.000
GR,2014GR16M2OP002,Central Macedonia - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999622,14055300.46,11244240.37,4893242.96,3914594.37,2020-12-31T00:00:00.000
IT,2014IT16RFOP004,Abruzzo - ERDF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,26000000,13000000,12026069.39,6013034.7,2020-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
GR,2014GR16M2OP002,Central Macedonia - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999823,,,,,2016-12-31T00:00:00.000
IT,2014IT16RFOP012,Lombardia - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,20000000,10000000,11929719,5964859.5,2021-12-31T00:00:00.000
PL,2014PL16M2OP009,Podkarpackie Voivodeship - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999988,78753274.07,66940282.96,66477963.31,56506268.81,2022-12-31T00:00:00.000
PL,2014PL16M2OP012,Śląskie Voivodeship - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.9999996,94083692.85,79971138.92,30653584.22,26055546.59,2020-12-31T00:00:00.000
IT,2014IT16RFOP015,Sardegna - ERDF,ERDF,Transition,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,88694596.39,44347298.2,42805349.8,21402674.9,2018-12-31T00:00:00.000
IT,2014IT16RFOP017,Toscana - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,22000000,11000000,0,0,2016-12-31T00:00:00.000
