PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2025/12/15,Austria,2011,5,Waste and wastewater management,Copper and compounds (as Cu),2320
2025/12/15,Hungary,2018,5,Waste and wastewater management,Lead and compounds (as Pb),257.2
2025/12/15,Greece,2015,1,Energy sector,Copper and compounds (as Cu),139
2025/12/15,Portugal,2007,2,Production and processing of metals,Cadmium and compounds (as Cd),15.6
2025/12/15,United Kingdom,2014,2,Production and processing of metals,Anthracene,17.97
2025/12/15,Spain,2024,2,Production and processing of metals,Chlorides (as total Cl),7090000
2025/12/15,Norway,2012,6,Paper and wood production and processing,Lead and compounds (as Pb),157
2025/12/15,Netherlands,2011,6,Paper and wood production and processing,Zinc and compounds (as Zn),437
2025/12/15,Poland,2013,4,Chemical industry,Tetrachloromethane (TCM),7.55
2025/12/15,Bulgaria,2017,1,Energy sector,Chromium and compounds (as Cr),331.4
2025/12/15,Italy,2016,5,Waste and wastewater management,Endosulphan,1.15
2025/12/15,Belgium,2019,2,Production and processing of metals,Total phosphorus,5910
2025/12/15,Netherlands,2019,4,Chemical industry,Total nitrogen,563900
2025/12/15,Spain,2017,6,Paper and wood production and processing,Lead and compounds (as Pb),141.8
2025/12/15,Austria,2013,6,Paper and wood production and processing,Nickel and compounds (as Ni),157
2025/12/15,United Kingdom,2014,8,Animal and vegetable products from the food and beverage sector,Lead and compounds (as Pb),26.2
2025/12/15,Romania,2023,4,Chemical industry,Chlorides (as total Cl),78000000
2025/12/15,United Kingdom,2009,5,Waste and wastewater management,Naphthalene,138
2025/12/15,Greece,2020,1,Energy sector,Toluene,198
2025/12/15,Sweden,2009,5,Waste and wastewater management,Fluoranthene,5.9
2025/12/15,Slovakia,2013,2,Production and processing of metals,Arsenic and compounds (as As),14.3
2025/12/15,Portugal,2015,5,Waste and wastewater management,Phenols (as total C),1432.5
2025/12/15,Spain,2010,5,Waste and wastewater management,Nonylphenol and Nonylphenol ethoxylates,965.7500000000001
2025/12/15,Portugal,2012,1,Energy sector,Nickel and compounds (as Ni),74.8
2025/12/15,Portugal,2021,6,Paper and wood production and processing,Nickel and compounds (as Ni),100.6
2025/12/15,Germany,2023,6,Paper and wood production and processing,Nickel and compounds (as Ni),27.1
2025/12/15,Germany,2011,5,Waste and wastewater management,Isoproturon,12.1
2025/12/15,Belgium,2022,8,Animal and vegetable products from the food and beverage sector,Arsenic and compounds (as As),11
2025/12/15,Finland,2008,1,Energy sector,Total nitrogen,86300
2025/12/15,Belgium,2009,5,Waste and wastewater management,Total phosphorus,397520
2025/12/15,Finland,2024,5,Waste and wastewater management,Total organic carbon(as total C or COD/3) (TOC),5318400
2025/12/15,Hungary,2010,1,Energy sector,Lead and compounds (as Pb),98.8
2025/12/15,Portugal,2012,5,Waste and wastewater management,Zinc and compounds (as Zn),13957
