PublicationDate,countryName,reportingYear,featureType,unit,featureValue
2025/12/15,Estonia,2023,LiquidFuels,TJ,571.9
2025/12/15,Austria,2019,Installed capacity,MW,21420.787
2025/12/15,Hungary,2023,SO2,tonnes,3777.92
2025/12/15,Czechia,2021,Lignite,TJ,344422.5535740001
2025/12/15,Denmark,2016,Lignite,TJ,0
2025/12/15,Croatia,2017,NaturalGas,TJ,34505.799999999996
2025/12/15,Hungary,2017,Biomass,TJ,19212.51
2025/12/15,Denmark,2016,Coal,TJ,84228.90999999999
2025/12/15,Slovakia,2016,LiquidFuels,TJ,9576.29
2025/12/15,Sweden,2022,Lignite,TJ,0
2025/12/15,Netherlands,2019,LiquidFuels,TJ,4413.050259
2025/12/15,Spain,2020,Peat,TJ,0
2025/12/15,Romania,2016,Lignite,TJ,157669.49
2025/12/15,Czechia,2016,SO2,tonnes,68858.01439899998
2025/12/15,France,2021,Installed capacity,MW,71115
2025/12/15,Hungary,2021,Installed capacity,MW,14731.322
2025/12/15,Slovenia,2021,Installed capacity,MW,6096.6
2025/12/15,Slovakia,2020,SO2,tonnes,3129.14296181
2025/12/15,Portugal,2020,Biomass,TJ,19737.195400907167
2025/12/15,Denmark,2021,LiquidFuels,TJ,3520.6016430000004
2025/12/15,Denmark,2018,NaturalGas,TJ,13613.177
2025/12/15,Spain,2017,LiquidFuels,TJ,71406.19999999998
2025/12/15,Latvia,2016,Coal,TJ,0
2025/12/15,Czechia,2020,OtherSolidFuels,TJ,6928.1143139999995
2025/12/15,Spain,2020,NOX,tonnes,30448.373229999994
2025/12/15,Portugal,2021,SO2,tonnes,1575.64645
2025/12/15,Romania,2024,Lignite,TJ,76448.242
2025/12/15,Netherlands,2020,DUST,tonnes,163.209013
2025/12/15,Czechia,2019,Installed capacity,MW,43000.464
2025/12/15,Greece,2019,Peat,TJ,0
2025/12/15,Italy,2023,NOX,tonnes,28684.614600000004
2025/12/15,Ireland,2018,NOX,tonnes,6412.600200000001
2025/12/15,Netherlands,2018,Biomass,TJ,15111.650560999999
2025/12/15,Hungary,2018,SO2,tonnes,1059.719
2025/12/15,Greece,2019,NOX,tonnes,54239.745
2025/12/15,Slovenia,2018,SO2,tonnes,1894.8890000000001
2025/12/15,Greece,2020,Lignite,TJ,71006
2025/12/15,Estonia,2018,Coal,TJ,0
2025/12/15,Lithuania,2022,OtherSolidFuels,TJ,816.27
2025/12/15,Estonia,2016,DUST,tonnes,1951.971
2025/12/15,Cyprus,2020,DUST,tonnes,301.648
2025/12/15,Malta,2018,OtherGases,TJ,0
2025/12/15,Latvia,2023,OtherSolidFuels,TJ,0
2025/12/15,Latvia,2016,Lignite,TJ,0
2025/12/15,Lithuania,2017,Biomass,TJ,2655.69
2025/12/15,Cyprus,2022,Lignite,TJ,0
2025/12/15,Latvia,2023,SO2,tonnes,21.815
2025/12/15,Malta,2016,OtherGases,TJ,0
2025/12/15,Malta,2017,LiquidFuels,TJ,2175.3999999999996
2025/12/15,Luxembourg,2023,NaturalGas,TJ,619
2025/12/15,Luxembourg,2019,Installed capacity,MW,54.4
