PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Cyprus,2012,7,Intensive livestock production and aquaculture,7(a)(i),Ammonia (NH3),277100
2025/12/15,Poland,2010,4,Chemical industry,4(b),Polycyclic aromatic hydrocarbons (PAHs),111
2025/12/15,United Kingdom,2010,5,Waste and wastewater management,5(b),Nitrogen oxides (NOX),3306000
2025/12/15,Germany,2007,6,Paper and wood production and processing,6(b),Non-methane volatile organic compounds (NMVOC),3169000
2025/12/15,Bulgaria,2012,3,Mineral industry,3(c)(i),Carbon dioxide (CO2),1766000000
2025/12/15,Germany,2021,1,Energy sector,1(c),Methane (CH4),3079000
2025/12/15,Romania,2015,1,Energy sector,1(c),Nitrogen oxides (NOX),38784000
2025/12/15,Cyprus,2012,3,Mineral industry,3(c)(i),Particulate matter (PM10),136000
2025/12/15,Sweden,2018,2,Production and processing of metals,2(a),Particulate matter (PM10),1421000
2025/12/15,Romania,2011,2,Production and processing of metals,2(c)(i),Nitrogen oxides (NOX),170000
2025/12/15,Netherlands,2019,5,Waste and wastewater management,5(b),Mercury and compounds (as Hg),25
2025/12/15,Germany,2009,2,Production and processing of metals,2(e)(i),Lead and compounds (as Pb),5912
2025/12/15,Sweden,2014,3,Mineral industry,3(c),Copper and compounds (as Cu),223
2025/12/15,Slovakia,2008,7,Intensive livestock production and aquaculture,7(a)(iii),Ammonia (NH3),33800
2025/12/15,Latvia,2014,3,Mineral industry,3(c)(i),Carbon dioxide (CO2),802000000
2025/12/15,Portugal,2018,4,Chemical industry,4(a)(viii),PCDD + PCDF (dioxins + furans) (as Teq),0.0111
2025/12/15,Hungary,2014,4,Chemical industry,4(a)(viii),Nitrogen oxides (NOX),507000
2025/12/15,France,2008,4,Chemical industry,4(a)(viii),Hydro-fluorocarbons (HFCS),16978
2025/12/15,United Kingdom,2016,4,Chemical industry,4(a),Naphthalene,106
2025/12/15,Netherlands,2021,4,Chemical industry,4(b)(v),Sulphur oxides (SOX),916000
2025/12/15,Poland,2011,1,Energy sector,1(c),Particulate matter (PM10),12385100
2025/12/15,Belgium,2008,2,Production and processing of metals,2(b),Chromium and compounds (as Cr),10787
2025/12/15,Germany,2013,4,Chemical industry,4(a)(i),Carbon dioxide (CO2),3990000000
2025/12/15,United Kingdom,2016,4,Chemical industry,4(a),Ammonia (NH3),48800
2025/12/15,Ireland,2015,1,Energy sector,1(c),Nitrogen oxides (NOX),8946000
2025/12/15,Bulgaria,2018,4,Chemical industry,4(c),Carbon dioxide (CO2),242827800
2025/12/15,Bulgaria,2017,4,Chemical industry,4(b)(iv),Nitrogen oxides (NOX),147000
2025/12/15,Italy,2019,1,Energy sector,1(d),Benzene,3676
2025/12/15,Czechia,2013,2,Production and processing of metals,2(e)(ii),Nickel and compounds (as Ni),124
2025/12/15,Sweden,2008,2,Production and processing of metals,2(b),Hydro-fluorocarbons (HFCS),608
2025/12/15,Poland,2010,1,Energy sector,1(a),Particulate matter (PM10),838000
2025/12/15,Czechia,2021,4,Chemical industry,4(a)(iv),Nitrous oxide (N2O),88449.1
2025/12/15,Slovakia,2008,2,Production and processing of metals,2(e)(ii),Copper and compounds (as Cu),5360
2025/12/15,France,2011,4,Chemical industry,4(a)(viii),Mercury and compounds (as Hg),266.4
2025/12/15,Bulgaria,2011,1,Energy sector,1(c),Nickel and compounds (as Ni),54
2025/12/15,Netherlands,2023,5,Waste and wastewater management,5(a),Methane (CH4),1503000
2025/12/15,France,2008,1,Energy sector,1(a),Methane (CH4),498000
2025/12/15,Spain,2009,3,Mineral industry,3(c)(ii),Nitrogen oxides (NOX),856000
2025/12/15,Sweden,2013,6,Paper and wood production and processing,6(a),Sulphur oxides (SOX),3581000
2025/12/15,Germany,2015,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Non-methane volatile organic compounds (NMVOC),2722000
2025/12/15,France,2007,3,Mineral industry,3(c)(iii),Nitrogen oxides (NOX),3358000
2025/12/15,Denmark,2013,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Sulphur oxides (SOX),772000
2025/12/15,Czechia,2018,5,Waste and wastewater management,5(b),Particulate matter (PM10),62
2025/12/15,Denmark,2014,4,Chemical industry,4(a)(ii),Nitrogen oxides (NOX),137000
2025/12/15,Germany,2023,1,Energy sector,1(d),Carbon monoxide (CO),1566000
2025/12/15,Finland,2024,3,Mineral industry,3(b),Nitrogen oxides (NOX),383000
2025/12/15,Austria,2013,5,Waste and wastewater management,5(a),Carbon dioxide (CO2),326000000
2025/12/15,Germany,2016,1,Energy sector,1(e),Chlorine and inorganic compounds (as HCl),115500
2025/12/15,Germany,2023,3,Mineral industry,3(e),Sulphur oxides (SOX),4088000
2025/12/15,France,2009,2,Production and processing of metals,2(f),Carbon monoxide (CO),2690000
2025/12/15,Spain,2013,4,Chemical industry,4(a)(i),Nickel and compounds (as Ni),1010
2025/12/15,Switzerland,2007,2,Production and processing of metals,2(c)(i),Cadmium and compounds (as Cd),20
2025/12/15,Portugal,2012,4,Chemical industry,4(a)(iv),PCDD + PCDF (dioxins + furans) (as Teq),0.000594
2025/12/15,United Kingdom,2014,8,Animal and vegetable products from the food and beverage sector,8(c),Hydrochlorofluorocarbons (HCFCs),498
2025/12/15,Finland,2018,1,Energy sector,1(c),Carbon monoxide (CO),884000
2025/12/15,France,2010,2,Production and processing of metals,2(e)(ii),Zinc and compounds (as Zn),1868
2025/12/15,France,2016,2,Production and processing of metals,2(c)(iii),Non-methane volatile organic compounds (NMVOC),292000
2025/12/15,Portugal,2015,1,Energy sector,1(c),Zinc and compounds (as Zn),1394
2025/12/15,Greece,2014,1,Energy sector,1(a),Ammonia (NH3),94300
2025/12/15,Germany,2021,4,Chemical industry,4(a)(viii),"1,2-dichloroethane (DCE-1,2)",136000
2025/12/15,Netherlands,2008,5,Waste and wastewater management,5(a),Hydrochlorofluorocarbons (HCFCs),8
2025/12/15,Germany,2008,2,Production and processing of metals,2(e)(i),PCDD + PCDF (dioxins + furans) (as Teq),0.000567
2025/12/15,Slovakia,2017,2,Production and processing of metals,2(e)(i),Nitrogen oxides (NOX),1125000
2025/12/15,Greece,2014,1,Energy sector,1(a),Nickel and compounds (as Ni),15369
2025/12/15,Portugal,2019,4,Chemical industry,4(a)(i),Non-methane volatile organic compounds (NMVOC),1700000
2025/12/15,Hungary,2012,5,Waste and wastewater management,5(b),Nitrogen oxides (NOX),259000
2025/12/15,Czechia,2009,2,Production and processing of metals,2(b),Arsenic and compounds (as As),334.4
2025/12/15,Italy,2014,6,Paper and wood production and processing,6(b),Polychlorinated biphenyls (PCBs),1.358
2025/12/15,Netherlands,2008,3,Mineral industry,3(g),Fluorine and inorganic compounds (as HF),112130
2025/12/15,Switzerland,2020,4,Chemical industry,4(a)(v),Sulphur oxides (SOX),17
2025/12/15,Poland,2020,4,Chemical industry,4(c),Hydro-fluorocarbons (HFCS),917
2025/12/15,Netherlands,2007,4,Chemical industry,4(a)(viii),Benzene,17600
2025/12/15,Poland,2011,3,Mineral industry,3(b),Carbon monoxide (CO),19008000
2025/12/15,Cyprus,2008,3,Mineral industry,3(c)(i),Nitrogen oxides (NOX),2361000
2025/12/15,Greece,2008,2,Production and processing of metals,2(e)(i),Carbon dioxide (CO2),760000000
2025/12/15,Norway,2010,1,Energy sector,1(a),Particulate matter (PM10),57000
2025/12/15,Denmark,2021,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Ammonia (NH3),0
