PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Belgium,2012,2,Production and processing of metals,2(e)(i),Arsenic and compounds (as As),174.6
2025/12/15,Italy,2008,8,Animal and vegetable products from the food and beverage sector,8(b),Total organic carbon(as total C or COD/3) (TOC),533600
2025/12/15,Italy,2023,9,Other activities,9(a),Arsenic and compounds (as As),32
2025/12/15,Slovakia,2011,1,Energy sector,1(a),"Benzo(g,h,i)perylene",5.93
2025/12/15,Germany,2011,4,Chemical industry,4(a)(ii),Fluorides (as total F),48420
2025/12/15,United Kingdom,2015,5,Waste and wastewater management,5(a),Arsenic and compounds (as As),6.94
2025/12/15,Italy,2014,5,Waste and wastewater management,5(g),Nickel and compounds (as Ni),1834.1
2025/12/15,Bulgaria,2010,5,Waste and wastewater management,5(f),Total organic carbon(as total C or COD/3) (TOC),6567400
2025/12/15,United Kingdom,2008,5,Waste and wastewater management,5(f),Halogenated organic compounds (as AOX),490700
2025/12/15,Italy,2014,6,Paper and wood production and processing,6(b),Phenols (as total C),1237.6
2025/12/15,Belgium,2023,5,Waste and wastewater management,5(f),Zinc and compounds (as Zn),26565
2025/12/15,United Kingdom,2017,5,Waste and wastewater management,5(f),Naphthalene,4836.5
2025/12/15,Spain,2022,5,Waste and wastewater management,5(d),Chromium and compounds (as Cr),66.9
2025/12/15,France,2011,4,Chemical industry,4(b)(i),Mercury and compounds (as Hg),57
2025/12/15,Netherlands,2014,5,Waste and wastewater management,5(c),Total organic carbon(as total C or COD/3) (TOC),4508200
2025/12/15,Germany,2022,5,Waste and wastewater management,5(f),Total organic carbon(as total C or COD/3) (TOC),30509000
2025/12/15,France,2008,4,Chemical industry,4(b)(ii),Total phosphorus,28630
2025/12/15,Poland,2022,5,Waste and wastewater management,5(f),Zinc and compounds (as Zn),47333
2025/12/15,Romania,2015,5,Waste and wastewater management,5(f),Phenols (as total C),17859.499999999996
2025/12/15,Czechia,2011,2,Production and processing of metals,2(f),Zinc and compounds (as Zn),648
2025/12/15,France,2023,1,Energy sector,1(c),Mercury and compounds (as Hg),55.599998
2025/12/15,Belgium,2014,5,Waste and wastewater management,5(f),Nonylphenol and Nonylphenol ethoxylates,12.5
2025/12/15,Poland,2022,5,Waste and wastewater management,5(g),Zinc and compounds (as Zn),2789
2025/12/15,Cyprus,2023,7,Intensive livestock production and aquaculture,7(b),Total phosphorus,97380
2025/12/15,Czechia,2015,6,Paper and wood production and processing,6(a),Halogenated organic compounds (as AOX),13100
2025/12/15,Finland,2012,5,Waste and wastewater management,5(d),Arsenic and compounds (as As),274
2025/12/15,France,2019,6,Paper and wood production and processing,6(a),Zinc and compounds (as Zn),3186
2025/12/15,Sweden,2011,4,Chemical industry,4(a)(i),Total organic carbon(as total C or COD/3) (TOC),94000
2025/12/15,Belgium,2024,5,Waste and wastewater management,5(b),PCDD + PCDF (dioxins + furans) (as Teq),0.0151
2025/12/15,Finland,2011,6,Paper and wood production and processing,6(b),Arsenic and compounds (as As),97.7
2025/12/15,Netherlands,2023,5,Waste and wastewater management,5(a),Total organic carbon(as total C or COD/3) (TOC),101000
2025/12/15,Ireland,2023,3,Mineral industry,3(b),Mercury and compounds (as Hg),5.9
2025/12/15,France,2009,2,Production and processing of metals,2(b),Phenols (as total C),400.5
2025/12/15,Germany,2024,5,Waste and wastewater management,5(f),Fluorides (as total F),746440
2025/12/15,France,2011,5,Waste and wastewater management,5(f),Aldrin,1.06
2025/12/15,Italy,2022,6,Paper and wood production and processing,6(b),Total organic carbon(as total C or COD/3) (TOC),794321
2025/12/15,Switzerland,2007,1,Energy sector,1(a),Cyanides (as total CN),18
2025/12/15,Switzerland,2007,1,Energy sector,1(a),Copper and compounds (as Cu),90
2025/12/15,Hungary,2014,5,Waste and wastewater management,5(f),Total phosphorus,278220
2025/12/15,Czechia,2008,4,Chemical industry,4(a)(vii),Copper and compounds (as Cu),210
2025/12/15,Portugal,2013,1,Energy sector,1(c),Nickel and compounds (as Ni),37.4
2025/12/15,United Kingdom,2014,5,Waste and wastewater management,5(d),Cadmium and compounds (as Cd),8
2025/12/15,United Kingdom,2009,5,Waste and wastewater management,5(f),Naphthalene,138
2025/12/15,Italy,2010,9,Other activities,9(c),Zinc and compounds (as Zn),879
2025/12/15,France,2009,4,Chemical industry,4(d),Isoproturon,1.21
2025/12/15,Italy,2014,5,Waste and wastewater management,5(f),"1,2-dichloroethane (DCE-1,2)",1331.6
2025/12/15,Spain,2024,5,Waste and wastewater management,5(f),"1,2-dichloroethane (DCE-1,2)",12.2
2025/12/15,Poland,2011,4,Chemical industry,4(c),Chlorides (as total Cl),7910000
2025/12/15,Italy,2018,1,Energy sector,1(a),Zinc and compounds (as Zn),1276.1516000000001
2025/12/15,Czechia,2007,2,Production and processing of metals,2(b),Cyanides (as total CN),282
2025/12/15,Italy,2022,4,Chemical industry,4(a),Total nitrogen,205783.4
2025/12/15,Ireland,2023,5,Waste and wastewater management,5(f),Zinc and compounds (as Zn),15409.951453999998
2025/12/15,Belgium,2017,4,Chemical industry,4(a)(i),Fluorides (as total F),6630
2025/12/15,Italy,2010,4,Chemical industry,4(e),Nickel and compounds (as Ni),192.9
2025/12/15,Austria,2012,5,Waste and wastewater management,5(g),Total organic carbon(as total C or COD/3) (TOC),6818000
2025/12/15,Sweden,2017,6,Paper and wood production and processing,6(a),Nickel and compounds (as Ni),1649.3
2025/12/15,Italy,2013,9,Other activities,9(c),Mercury and compounds (as Hg),1.2
2025/12/15,Italy,2018,1,Energy sector,1(c),Total organic carbon(as total C or COD/3) (TOC),286412
2025/12/15,Spain,2016,2,Production and processing of metals,2(f),Nickel and compounds (as Ni),421.6
2025/12/15,Spain,2015,1,Energy sector,1(a),Mercury and compounds (as Hg),47.7
2025/12/15,Poland,2013,3,Mineral industry,3(a),Chlorides (as total Cl),1063570000
2025/12/15,Spain,2021,4,Chemical industry,4(a)(viii),Halogenated organic compounds (as AOX),7490
2025/12/15,Serbia,2020,1,Energy sector,1(c),Chromium and compounds (as Cr),617.5
2025/12/15,Hungary,2016,4,Chemical industry,4(a)(iv),Total nitrogen,81000
2025/12/15,United Kingdom,2009,1,Energy sector,1(a),Arsenic and compounds (as As),649.4
2025/12/15,France,2010,4,Chemical industry,4(a)(vi),"1,2-dichloroethane (DCE-1,2)",475.2
2025/12/15,United Kingdom,2015,1,Energy sector,1(c),Copper and compounds (as Cu),5585.4
2025/12/15,Serbia,2020,4,Chemical industry,4(c),Nickel and compounds (as Ni),170
2025/12/15,United Kingdom,2007,4,Chemical industry,4(a),Octylphenols and Octylphenol ethoxylates,850
2025/12/15,Italy,2017,5,Waste and wastewater management,5(d),Total nitrogen,223000
2025/12/15,France,2017,8,Animal and vegetable products from the food and beverage sector,8(c),Zinc and compounds (as Zn),128
2025/12/15,Italy,2017,5,Waste and wastewater management,5(f),Dichloromethane (DCM),2776.2
2025/12/15,Belgium,2019,4,Chemical industry,4(a)(ii),Chlorides (as total Cl),73060000
2025/12/15,Norway,2017,6,Paper and wood production and processing,6(a),Total phosphorus,42410
2025/12/15,Sweden,2020,5,Waste and wastewater management,5(f),Total phosphorus,94060
2025/12/15,Italy,2008,5,Waste and wastewater management,5(c),Endrin,7.14
2025/12/15,Slovenia,2008,5,Waste and wastewater management,5(f),Halogenated organic compounds (as AOX),2630
2025/12/15,Italy,2008,1,Energy sector,1(c),Fluorides (as total F),14080
2025/12/15,Poland,2018,3,Mineral industry,3(b),Arsenic and compounds (as As),310
2025/12/15,Bulgaria,2013,1,Energy sector,1(c),Chromium and compounds (as Cr),7816.4
2025/12/15,Poland,2008,3,Mineral industry,3(a),Lead and compounds (as Pb),25016
2025/12/15,Germany,2008,4,Chemical industry,4(a)(iv),Lead and compounds (as Pb),85.4
2025/12/15,France,2020,4,Chemical industry,4(a)(iv),Cadmium and compounds (as Cd),6.1
2025/12/15,Italy,2023,6,Paper and wood production and processing,6(b),Lead and compounds (as Pb),77.76
2025/12/15,Finland,2009,2,Production and processing of metals,2(b),Nickel and compounds (as Ni),368.7
2025/12/15,Romania,2019,5,Waste and wastewater management,5(a),Mercury and compounds (as Hg),1.19
2025/12/15,France,2012,1,Energy sector,1(c),Dichloromethane (DCM),1790
2025/12/15,France,2012,9,Other activities,9(d),Phenols (as total C),9750
2025/12/15,France,2011,,,,Diuron,15.510000000000002
2025/12/15,Malta,2017,1,Energy sector,1(c),Mercury and compounds (as Hg),2.52
2025/12/15,France,2014,4,Chemical industry,4(b)(i),Total nitrogen,418800
2025/12/15,Italy,2017,4,Chemical industry,4(e),Total organic carbon(as total C or COD/3) (TOC),512700
2025/12/15,France,2011,4,Chemical industry,4(b)(iv),Zinc and compounds (as Zn),148
2025/12/15,Ireland,2016,3,Mineral industry,3(a),Zinc and compounds (as Zn),1630
2025/12/15,Italy,2013,8,Animal and vegetable products from the food and beverage sector,8(b),Nickel and compounds (as Ni),58.4
2025/12/15,Spain,2007,2,Production and processing of metals,2(b),Mercury and compounds (as Hg),8.54
2025/12/15,Greece,2021,1,Energy sector,1(a),Zinc and compounds (as Zn),219
2025/12/15,Italy,2020,5,Waste and wastewater management,5(b),Mercury and compounds (as Hg),3.76
2025/12/15,Slovenia,2007,5,Waste and wastewater management,5(d),Atrazine,17.2
2025/12/15,Italy,2020,2,Production and processing of metals,2(e),Chromium and compounds (as Cr),202.3
