PublicationDate,countryName,reportingYear,Pollutant,transfers
2025/12/15,Sweden,2019,Zinc and compounds (as Zn),542
2025/12/15,Sweden,2021,Phenols (as total C),10931
2025/12/15,Sweden,2021,Toluene,680
2025/12/15,Sweden,2021,Total organic carbon(as total C or COD/3) (TOC),6069500
2025/12/15,Sweden,2022,Zinc and compounds (as Zn),507
2025/12/15,Switzerland,2008,Copper and compounds (as Cu),1952
2025/12/15,Switzerland,2009,Chromium and compounds (as Cr),293
2025/12/15,Switzerland,2011,Copper and compounds (as Cu),1647
2025/12/15,Switzerland,2012,Chromium and compounds (as Cr),191
2025/12/15,Switzerland,2014,Copper and compounds (as Cu),91
2025/12/15,Switzerland,2014,Zinc and compounds (as Zn),1356
2025/12/15,Switzerland,2015,Chromium and compounds (as Cr),147
2025/12/15,Switzerland,2016,Phenols (as total C),15742
2025/12/15,Switzerland,2017,Xylenes,3538
2025/12/15,Switzerland,2017,Zinc and compounds (as Zn),937
2025/12/15,Switzerland,2019,Phenols (as total C),57610
2025/12/15,Switzerland,2020,Xylenes,3824
2025/12/15,Switzerland,2020,Zinc and compounds (as Zn),1172.21
2025/12/15,Switzerland,2022,Cadmium and compounds (as Cd),0.129
2025/12/15,Switzerland,2022,Ethyl benzene,427
2025/12/15,Switzerland,2022,Phenols (as total C),32020
2025/12/15,Switzerland,2022,Total organic carbon(as total C or COD/3) (TOC),11124603
2025/12/15,United Kingdom,2007,Fluoranthene,9.22
2025/12/15,United Kingdom,2007,Lead and compounds (as Pb),2575
2025/12/15,United Kingdom,2007,Naphthalene,3580
2025/12/15,United Kingdom,2007,Pentachlorophenol (PCP),12.56
2025/12/15,United Kingdom,2008,Total nitrogen,11297600
2025/12/15,United Kingdom,2009,Chlorides (as total Cl),22160000
2025/12/15,United Kingdom,2009,Halogenated organic compounds (as AOX),17100
2025/12/15,United Kingdom,2009,Octylphenols and Octylphenol ethoxylates,3.4
2025/12/15,United Kingdom,2010,Benzene,22859
2025/12/15,United Kingdom,2010,Lead and compounds (as Pb),2182.1
2025/12/15,United Kingdom,2010,Naphthalene,2929.5
2025/12/15,United Kingdom,2010,Trichloroethylene (TRI),63
2025/12/15,United Kingdom,2011,Total nitrogen,7475300
2025/12/15,United Kingdom,2012,"Benzo(g,h,i)perylene",13.9
2025/12/15,United Kingdom,2012,Chlorides (as total Cl),27650000
2025/12/15,United Kingdom,2012,Chromium and compounds (as Cr),4396.9
2025/12/15,United Kingdom,2012,Halogenated organic compounds (as AOX),17900
2025/12/15,United Kingdom,2012,Octylphenols and Octylphenol ethoxylates,2.53
2025/12/15,United Kingdom,2013,Benzene,18275
2025/12/15,United Kingdom,2015,"Benzo(g,h,i)perylene",5.12
2025/12/15,United Kingdom,2015,Chromium and compounds (as Cr),2924.6000000000004
2025/12/15,United Kingdom,2015,Halogenated organic compounds (as AOX),10100
2025/12/15,United Kingdom,2016,Benzene,9820
2025/12/15,United Kingdom,2016,Mercury and compounds (as Hg),12.14
2025/12/15,United Kingdom,2017,Dichloromethane (DCM),250
2025/12/15,United Kingdom,2018,"Benzo(g,h,i)perylene",20.08
2025/12/15,United Kingdom,2018,Chromium and compounds (as Cr),1222.8
2025/12/15,United Kingdom,2019,Benzene,8257
2025/12/15,United Kingdom,2019,Mercury and compounds (as Hg),35.1
2025/12/15,Austria,2007,PCDD + PCDF (dioxins + furans) (as Teq),0.000199
2025/12/15,Austria,2009,Ethyl benzene,388
2025/12/15,Austria,2009,Toluene,1940
2025/12/15,Austria,2010,Nonylphenol and Nonylphenol ethoxylates,65.61
2025/12/15,Austria,2012,Fluoranthene,8.01
2025/12/15,Austria,2012,Pentachlorophenol (PCP),3.01
2025/12/15,Austria,2013,"Chloro-alkanes, C10-C13",34.019999999999996
2025/12/15,Austria,2013,Nonylphenol and Nonylphenol ethoxylates,66.67999999999999
2025/12/15,Austria,2015,Fluoranthene,12.86
2025/12/15,Austria,2015,Pentachlorophenol (PCP),8.629999999999999
2025/12/15,Austria,2016,"Chloro-alkanes, C10-C13",11.7
2025/12/15,Austria,2017,Halogenated organic compounds (as AOX),143460
2025/12/15,Austria,2018,Fluoranthene,10.69
2025/12/15,Austria,2019,"Chloro-alkanes, C10-C13",12.2
2025/12/15,Austria,2020,Cadmium and compounds (as Cd),22.7
2025/12/15,Austria,2020,Halogenated organic compounds (as AOX),183330
2025/12/15,Austria,2020,Octylphenols and Octylphenol ethoxylates,1.29
2025/12/15,Austria,2022,"Chloro-alkanes, C10-C13",13.9
2025/12/15,Austria,2022,Total nitrogen,1081200
2025/12/15,Austria,2023,Cadmium and compounds (as Cd),23.4
2025/12/15,Austria,2023,Halogenated organic compounds (as AOX),169750
2025/12/15,Austria,2024,Polycyclic aromatic hydrocarbons (PAHs),835.8
2025/12/15,Belgium,2007,Halogenated organic compounds (as AOX),1220
2025/12/15,Belgium,2010,Cadmium and compounds (as Cd),52.5
2025/12/15,Belgium,2010,Octylphenols and Octylphenol ethoxylates,2.54
2025/12/15,Belgium,2012,Total nitrogen,142400
2025/12/15,Belgium,2013,Cadmium and compounds (as Cd),13.5
2025/12/15,Belgium,2014,Polycyclic aromatic hydrocarbons (PAHs),42.7
2025/12/15,Belgium,2015,Total nitrogen,1211100
2025/12/15,Belgium,2016,Cadmium and compounds (as Cd),7.18
2025/12/15,Belgium,2018,Dichloromethane (DCM),76.3
2025/12/15,Belgium,2018,Total nitrogen,1460700
2025/12/15,Belgium,2019,Cadmium and compounds (as Cd),13.8
2025/12/15,Belgium,2020,Mercury and compounds (as Hg),3.55
2025/12/15,Belgium,2021,Copper and compounds (as Cu),125
2025/12/15,Belgium,2021,Fluorides (as total F),79420
2025/12/15,Belgium,2023,Mercury and compounds (as Hg),4.2
2025/12/15,Belgium,2024,Copper and compounds (as Cu),291.5
2025/12/15,Belgium,2024,Fluorides (as total F),76830
2025/12/15,Bulgaria,2007,Nickel and compounds (as Ni),2732.5
2025/12/15,Bulgaria,2011,Total phosphorus,557520
2025/12/15,Bulgaria,2013,Nickel and compounds (as Ni),168.6
2025/12/15,Bulgaria,2014,Total phosphorus,145150
2025/12/15,Bulgaria,2016,Nickel and compounds (as Ni),657
2025/12/15,Bulgaria,2017,Cadmium and compounds (as Cd),127.32000000000001
2025/12/15,Bulgaria,2017,Total phosphorus,130950
2025/12/15,Bulgaria,2019,Total nitrogen,938297
2025/12/15,Bulgaria,2020,Cadmium and compounds (as Cd),159
2025/12/15,Bulgaria,2022,Total nitrogen,939631
2025/12/15,Bulgaria,2023,Cadmium and compounds (as Cd),296
2025/12/15,Croatia,2016,Lead and compounds (as Pb),50.8
2025/12/15,Croatia,2017,Phenols (as total C),434.8
2025/12/15,Croatia,2018,Zinc and compounds (as Zn),159
2025/12/15,Croatia,2019,Lead and compounds (as Pb),31.6
2025/12/15,Croatia,2020,Phenols (as total C),228.50000000000003
2025/12/15,Croatia,2021,Arsenic and compounds (as As),19.55
2025/12/15,Croatia,2021,Zinc and compounds (as Zn),218
2025/12/15,Croatia,2022,Lead and compounds (as Pb),52.6
2025/12/15,Croatia,2023,Phenols (as total C),312.7
2025/12/15,Cyprus,2020,Polycyclic aromatic hydrocarbons (PAHs),0.46
2025/12/15,Cyprus,2020,Zinc and compounds (as Zn),1200
2025/12/15,Czechia,2007,"1,2-dichloroethane (DCE-1,2)",61.2
2025/12/15,Czechia,2008,Trichlorobenzenes (TCB),33
2025/12/15,Czechia,2009,Nickel and compounds (as Ni),2933.5
2025/12/15,Czechia,2009,Tetrachloroethylene,54.1
2025/12/15,Czechia,2009,Total organic carbon(as total C or COD/3) (TOC),4499700
2025/12/15,Czechia,2011,Naphthalene,52
2025/12/15,Czechia,2011,Trichloromethane,95
2025/12/15,Czechia,2012,Polychlorinated biphenyls (PCBs),0.263
2025/12/15,Czechia,2012,Tetrachloroethylene,22
2025/12/15,Czechia,2012,Total organic carbon(as total C or COD/3) (TOC),5149500
2025/12/15,Czechia,2013,"1,2-dichloroethane (DCE-1,2)",63.2
2025/12/15,Czechia,2013,Polycyclic aromatic hydrocarbons (PAHs),44.7
2025/12/15,Czechia,2014,Arsenic and compounds (as As),77.6
2025/12/15,Czechia,2014,Naphthalene,401
2025/12/15,Czechia,2014,Zinc and compounds (as Zn),69562
2025/12/15,Czechia,2015,Cadmium and compounds (as Cd),10
2025/12/15,Czechia,2015,Lead and compounds (as Pb),396
2025/12/15,Czechia,2015,Polychlorinated biphenyls (PCBs),0.62
2025/12/15,Czechia,2015,Total organic carbon(as total C or COD/3) (TOC),7402000
2025/12/15,Czechia,2016,Phenols (as total C),406698
2025/12/15,Czechia,2016,Polycyclic aromatic hydrocarbons (PAHs),10.4
2025/12/15,Czechia,2017,Arsenic and compounds (as As),5.3
2025/12/15,Czechia,2017,Chlorides (as total Cl),44770000
2025/12/15,Czechia,2017,Naphthalene,36.5
2025/12/15,Czechia,2017,Trichloromethane,270
2025/12/15,Czechia,2017,Zinc and compounds (as Zn),60200
2025/12/15,Czechia,2018,Lead and compounds (as Pb),7482.178880000001
2025/12/15,Czechia,2019,Phenols (as total C),402560.906
2025/12/15,Czechia,2019,Polycyclic aromatic hydrocarbons (PAHs),7.431
2025/12/15,Czechia,2020,Arsenic and compounds (as As),41.759178
2025/12/15,Czechia,2020,Chlorides (as total Cl),50017891.64
2025/12/15,Czechia,2020,Naphthalene,24.3
2025/12/15,Czechia,2020,Trichloromethane,55.424
2025/12/15,Czechia,2020,Xylenes,0.062
2025/12/15,Czechia,2020,Zinc and compounds (as Zn),36703.160103999995
2025/12/15,Czechia,2021,Lead and compounds (as Pb),6697.194197
2025/12/15,Czechia,2021,Organotin compounds (as total Sn),0.0066
2025/12/15,Czechia,2022,"Benzo(g,h,i)perylene",4e-5
2025/12/15,Czechia,2022,Chromium and compounds (as Cr),17915.151253
2025/12/15,Czechia,2022,Ethyl benzene,2585.5305
2025/12/15,Czechia,2022,Phenols (as total C),541598.7751999999
2025/12/15,Denmark,2012,Nickel and compounds (as Ni),23
2025/12/15,Denmark,2015,Octylphenols and Octylphenol ethoxylates,115.25
2025/12/15,Denmark,2018,Cadmium and compounds (as Cd),3.3870999999999998
2025/12/15,Denmark,2018,Nickel and compounds (as Ni),33.048664
2025/12/15,Denmark,2018,Octylphenols and Octylphenol ethoxylates,45.1
2025/12/15,Denmark,2020,Arsenic and compounds (as As),5.8742220000000005
2025/12/15,Denmark,2020,Zinc and compounds (as Zn),203.205457
2025/12/15,Denmark,2021,Cadmium and compounds (as Cd),1.19086
2025/12/15,Denmark,2021,Chlorine and inorganic compounds (as HCl),17458.8
2025/12/15,Denmark,2022,Polycyclic aromatic hydrocarbons (PAHs),32.3
2025/12/15,Denmark,2023,Arsenic and compounds (as As),8.5134
2025/12/15,Denmark,2023,Chlorides (as total Cl),3733941.28
2025/12/15,Denmark,2023,Zinc and compounds (as Zn),151.55800000000002
2025/12/15,Denmark,2024,Cadmium and compounds (as Cd),2.7728710000000008
2025/12/15,Denmark,2024,Chlorine and inorganic compounds (as HCl),8119.7
2025/12/15,Finland,2009,Total phosphorus,304380
2025/12/15,Finland,2011,Cadmium and compounds (as Cd),7.67
2025/12/15,Finland,2011,Total organic carbon(as total C or COD/3) (TOC),10290500
2025/12/15,Finland,2012,Total phosphorus,332970
2025/12/15,Finland,2014,Total organic carbon(as total C or COD/3) (TOC),10447700
2025/12/15,Finland,2015,Halogenated organic compounds (as AOX),15500
2025/12/15,Finland,2015,Total phosphorus,278710
2025/12/15,Finland,2016,Arsenic and compounds (as As),63.510000000000005
2025/12/15,Finland,2017,Total organic carbon(as total C or COD/3) (TOC),9844800
2025/12/15,Finland,2018,PCDD + PCDF (dioxins + furans) (as Teq),0.0014299999999999998
2025/12/15,Finland,2019,Arsenic and compounds (as As),32.6
2025/12/15,Finland,2019,Mercury and compounds (as Hg),2.64
2025/12/15,Finland,2020,Cadmium and compounds (as Cd),5.2
2025/12/15,Finland,2020,Lead and compounds (as Pb),28.9
2025/12/15,Finland,2022,Arsenic and compounds (as As),122.1
2025/12/15,Finland,2022,Mercury and compounds (as Hg),1.24
2025/12/15,Finland,2023,Lead and compounds (as Pb),882
2025/12/15,Finland,2023,Toluene,452
2025/12/15,Finland,2024,Xylenes,235
2025/12/15,France,2008,Total organic carbon(as total C or COD/3) (TOC),42462400
2025/12/15,France,2009,Polycyclic aromatic hydrocarbons (PAHs),560.6
2025/12/15,France,2010,Trichloromethane,1234.8
2025/12/15,France,2011,Total organic carbon(as total C or COD/3) (TOC),30415200
2025/12/15,France,2012,Polycyclic aromatic hydrocarbons (PAHs),22.3
2025/12/15,France,2013,Arsenic and compounds (as As),125.06
2025/12/15,France,2013,Trichloromethane,634.2
2025/12/15,France,2014,Lead and compounds (as Pb),900.1
2025/12/15,France,2014,Total organic carbon(as total C or COD/3) (TOC),33279400
2025/12/15,France,2016,Arsenic and compounds (as As),68.05
2025/12/15,France,2016,Chlorides (as total Cl),23910000
2025/12/15,France,2016,Mercury and compounds (as Hg),57.830000000000005
2025/12/15,France,2016,Trichloromethane,401.2
2025/12/15,France,2017,Lead and compounds (as Pb),158.4
2025/12/15,France,2017,Toluene,2774
2025/12/15,France,2019,Arsenic and compounds (as As),101.619999
2025/12/15,France,2019,Chlorides (as total Cl),22090000
2025/12/15,France,2019,Mercury and compounds (as Hg),1.38
2025/12/15,France,2019,Trichloromethane,247.699995
2025/12/15,France,2019,Xylenes,0.57
2025/12/15,France,2020,Lead and compounds (as Pb),232.199998
2025/12/15,France,2020,Simazine,10.5
2025/12/15,France,2020,Toluene,3859
2025/12/15,France,2022,Chlorides (as total Cl),59110000
2025/12/15,France,2022,Mercury and compounds (as Hg),97.990002
2025/12/15,France,2023,Lead and compounds (as Pb),313.299998
2025/12/15,France,2024,Cyanides (as total CN),125
2025/12/15,Germany,2007,Lindane,1.2
2025/12/15,Germany,2007,PCDD + PCDF (dioxins + furans) (as Teq),0.00115
2025/12/15,Germany,2007,Polycyclic aromatic hydrocarbons (PAHs),1267.9
2025/12/15,Germany,2008,Anthracene,1.54
2025/12/15,Germany,2008,Arsenic and compounds (as As),832.19
2025/12/15,Germany,2008,Trichloromethane,109
2025/12/15,Germany,2009,Brominated diphenylethers (PBDE),14.9
2025/12/15,Germany,2009,Cadmium and compounds (as Cd),573.5400000000001
2025/12/15,Germany,2009,Lead and compounds (as Pb),2346.4
2025/12/15,Germany,2009,Total organic carbon(as total C or COD/3) (TOC),109468400
2025/12/15,Germany,2010,PCDD + PCDF (dioxins + furans) (as Teq),0.0013969999999999998
2025/12/15,Germany,2010,Polycyclic aromatic hydrocarbons (PAHs),1094.3799999999999
2025/12/15,Germany,2011,Anthracene,1.73
2025/12/15,Germany,2011,Arsenic and compounds (as As),2288.3000000000006
2025/12/15,Germany,2011,Chlorides (as total Cl),485680000
2025/12/15,Germany,2011,Mercury and compounds (as Hg),539.27
2025/12/15,Germany,2011,Xylenes,2260
2025/12/15,Germany,2012,Lead and compounds (as Pb),2890
2025/12/15,Germany,2012,Toluene,72404
2025/12/15,Germany,2013,PCDD + PCDF (dioxins + furans) (as Teq),0.001005
2025/12/15,Germany,2013,Polycyclic aromatic hydrocarbons (PAHs),79.69999999999999
2025/12/15,Germany,2014,Arsenic and compounds (as As),911.45
2025/12/15,Germany,2014,Chlorides (as total Cl),522520000
2025/12/15,Germany,2014,Mercury and compounds (as Hg),490.21000000000004
2025/12/15,Germany,2014,Trichloromethane,132.4
2025/12/15,Germany,2014,Xylenes,3841
2025/12/15,Germany,2015,Lead and compounds (as Pb),3852.7999999999993
2025/12/15,Germany,2015,Toluene,74311
2025/12/15,Germany,2016,PCDD + PCDF (dioxins + furans) (as Teq),0.001369
2025/12/15,Germany,2017,Chlorides (as total Cl),608360000
2025/12/15,Germany,2017,Mercury and compounds (as Hg),1012.25
2025/12/15,Germany,2017,Xylenes,6329
2025/12/15,Germany,2018,Lead and compounds (as Pb),4018.6000000000004
2025/12/15,Germany,2018,Toluene,37719
2025/12/15,Germany,2019,Cyanides (as total CN),22182
2025/12/15,Germany,2020,Chlorides (as total Cl),505800000
2025/12/15,Germany,2020,Mercury and compounds (as Hg),1054.22
2025/12/15,Germany,2020,Vinyl chloride,760.8000000000001
2025/12/15,Germany,2020,Xylenes,3845.2
2025/12/15,Germany,2021,Fluoranthene,3.29
2025/12/15,Germany,2021,Toluene,107203.8
2025/12/15,Germany,2022,Cyanides (as total CN),12198.2
2025/12/15,Germany,2022,Ethylene oxide,90
2025/12/15,Germany,2022,Trichlorobenzenes (TCB),65.4
2025/12/15,Germany,2023,Vinyl chloride,522.9
2025/12/15,Greece,2014,Copper and compounds (as Cu),82.2
2025/12/15,Greece,2017,Nickel and compounds (as Ni),70.4
2025/12/15,Greece,2020,Nickel and compounds (as Ni),100
2025/12/15,Greece,2021,Total phosphorus,5400
2025/12/15,Greece,2022,Total organic carbon(as total C or COD/3) (TOC),65900
2025/12/15,Greece,2023,Nickel and compounds (as Ni),211
2025/12/15,Greece,2024,Total phosphorus,11040
2025/12/15,Hungary,2007,Halogenated organic compounds (as AOX),1220
2025/12/15,Hungary,2007,Nickel and compounds (as Ni),26.1
2025/12/15,Hungary,2009,Total organic carbon(as total C or COD/3) (TOC),2383000
2025/12/15,Hungary,2010,Halogenated organic compounds (as AOX),2230
2025/12/15,Hungary,2010,Nickel and compounds (as Ni),28.6
2025/12/15,Hungary,2011,"1,2-dichloroethane (DCE-1,2)",3270
2025/12/15,Hungary,2012,Total organic carbon(as total C or COD/3) (TOC),3002900
2025/12/15,Hungary,2013,Nickel and compounds (as Ni),23.5
2025/12/15,Hungary,2015,Dichloromethane (DCM),6013
2025/12/15,Hungary,2015,Total organic carbon(as total C or COD/3) (TOC),1280000
2025/12/15,Hungary,2016,Total nitrogen,541200
2025/12/15,Hungary,2018,Dichloromethane (DCM),138
2025/12/15,Hungary,2018,Lead and compounds (as Pb),298
2025/12/15,Hungary,2019,Total nitrogen,485400
2025/12/15,Hungary,2021,Dichloromethane (DCM),29.5
2025/12/15,Hungary,2022,Total nitrogen,646500
2025/12/15,Ireland,2008,Copper and compounds (as Cu),426.8
2025/12/15,Ireland,2008,Fluorides (as total F),15200
2025/12/15,Ireland,2009,Trichlorobenzenes (TCB),1.53
2025/12/15,Ireland,2011,Fluorides (as total F),14600
2025/12/15,Ireland,2013,Total organic carbon(as total C or COD/3) (TOC),2865900
2025/12/15,Ireland,2015,Total phosphorus,42180
2025/12/15,Ireland,2016,Total organic carbon(as total C or COD/3) (TOC),5022200
2025/12/15,Ireland,2018,Total phosphorus,58354.7
2025/12/15,Ireland,2019,Total organic carbon(as total C or COD/3) (TOC),5224103.5653
2025/12/15,Ireland,2021,Arsenic and compounds (as As),7.65
2025/12/15,Ireland,2021,Total phosphorus,89667.24
2025/12/15,Ireland,2021,Zinc and compounds (as Zn),390.77
2025/12/15,Ireland,2022,Total organic carbon(as total C or COD/3) (TOC),6001840.09
2025/12/15,Ireland,2023,Total nitrogen,397224.53
2025/12/15,Ireland,2024,Chlorides (as total Cl),3153750
2025/12/15,Ireland,2024,Total phosphorus,81206.79999999999
2025/12/15,Ireland,2024,Zinc and compounds (as Zn),243.9
2025/12/15,Italy,2007,Cadmium and compounds (as Cd),181.39999999999998
2025/12/15,Italy,2007,Dieldrin,2.27
2025/12/15,Italy,2007,Hexachlorobenzene (HCB),2.27
2025/12/15,Italy,2007,Polychlorinated biphenyls (PCBs),9.1
2025/12/15,Italy,2007,Total organic carbon(as total C or COD/3) (TOC),329976900
2025/12/15,Italy,2008,"1,2-dichloroethane (DCE-1,2)",332.4
2025/12/15,Italy,2008,Diuron,1.9
2025/12/15,Italy,2008,Polycyclic aromatic hydrocarbons (PAHs),118160.2
2025/12/15,Italy,2009,Anthracene,17.689999999999998
2025/12/15,Italy,2009,Arsenic and compounds (as As),866.4200000000001
2025/12/15,Italy,2009,Naphthalene,7937
2025/12/15,Italy,2009,Trichloroethylene (TRI),10.3
2025/12/15,Italy,2009,Trichloromethane,66.5
2025/12/15,Italy,2009,Zinc and compounds (as Zn),90840
2025/12/15,Italy,2010,Cadmium and compounds (as Cd),681.1
2025/12/15,Italy,2010,Dieldrin,7.6
2025/12/15,Italy,2010,Lead and compounds (as Pb),3747.3999999999996
2025/12/15,Italy,2010,Organotin compounds (as total Sn),211.9
2025/12/15,Italy,2011,Phenols (as total C),56936.399999999994
2025/12/15,Italy,2011,Polycyclic aromatic hydrocarbons (PAHs),257551
2025/12/15,Italy,2012,Anthracene,11
2025/12/15,Italy,2012,Arsenic and compounds (as As),1091.29
2025/12/15,Italy,2012,Chlorides (as total Cl),89820000
2025/12/15,Italy,2012,Naphthalene,4038
2025/12/15,Italy,2012,Trichloromethane,27.5
2025/12/15,Italy,2012,Xylenes,14144
2025/12/15,Italy,2012,Zinc and compounds (as Zn),10785
2025/12/15,Italy,2013,Dieldrin,3.8000000000000003
2025/12/15,Italy,2013,Lead and compounds (as Pb),13874.199999999999
2025/12/15,Italy,2014,Chromium and compounds (as Cr),154163.50000000003
2025/12/15,Italy,2014,Phenols (as total C),40567.8
2025/12/15,Italy,2014,Polycyclic aromatic hydrocarbons (PAHs),276106.4
2025/12/15,Italy,2015,Arsenic and compounds (as As),856.6199999999998
2025/12/15,Italy,2015,Chlorides (as total Cl),71010000
2025/12/15,Italy,2015,Trichloroethylene (TRI),11
2025/12/15,Italy,2015,Xylenes,10168
2025/12/15,Italy,2015,Zinc and compounds (as Zn),15226
2025/12/15,Italy,2016,Lead and compounds (as Pb),9392.5
2025/12/15,Italy,2017,Chromium and compounds (as Cr),185265.50000000003
2025/12/15,Italy,2017,Ethyl benzene,6224
2025/12/15,Italy,2017,Phenols (as total C),88784.6
2025/12/15,Italy,2018,Chlorides (as total Cl),115928468.30000001
2025/12/15,Italy,2018,Nonylphenol and Nonylphenol ethoxylates,101.57400000000001
2025/12/15,Italy,2018,Xylenes,64249.713800000005
2025/12/15,Italy,2020,Chromium and compounds (as Cr),229775.8761
2025/12/15,Italy,2020,Ethyl benzene,12987.689000000002
2025/12/15,Italy,2021,Alachlor,1.7795
2025/12/15,Italy,2021,Chlordane,1.7795
2025/12/15,Italy,2021,Nonylphenol and Nonylphenol ethoxylates,12.542
2025/12/15,Italy,2021,Vinyl chloride,17.7952
2025/12/15,Italy,2023,"Benzo(g,h,i)perylene",6.2
2025/12/15,Italy,2023,Chromium and compounds (as Cr),205611.43979999993
2025/12/15,Italy,2023,Ethyl benzene,4193.8398
2025/12/15,Netherlands,2007,Chlorides (as total Cl),127290000
2025/12/15,Netherlands,2007,Nonylphenol and Nonylphenol ethoxylates,331
2025/12/15,Netherlands,2007,Vinyl chloride,124
2025/12/15,Netherlands,2007,Xylenes,12863
2025/12/15,Netherlands,2008,Toluene,4670
2025/12/15,Netherlands,2009,Cyanides (as total CN),338
2025/12/15,Netherlands,2009,Ethyl benzene,5780
2025/12/15,Netherlands,2010,Nonylphenol and Nonylphenol ethoxylates,209
2025/12/15,Netherlands,2010,Vinyl chloride,35
2025/12/15,Netherlands,2012,Cyanides (as total CN),172
2025/12/15,Netherlands,2012,Ethyl benzene,508
2025/12/15,Netherlands,2012,Ethylene oxide,4400
2025/12/15,Netherlands,2013,Nickel and compounds (as Ni),606.9000000000001
2025/12/15,Netherlands,2013,Vinyl chloride,150
2025/12/15,Netherlands,2014,Total phosphorus,1055620
2025/12/15,Netherlands,2015,Cyanides (as total CN),171
2025/12/15,Netherlands,2015,Ethylene oxide,2740
2025/12/15,Netherlands,2016,Nickel and compounds (as Ni),478.29999999999995
2025/12/15,Netherlands,2016,Vinyl chloride,29
2025/12/15,Netherlands,2017,"1,2-dichloroethane (DCE-1,2)",129
2025/12/15,Netherlands,2017,Halogenated organic compounds (as AOX),89600
2025/12/15,Netherlands,2017,Total phosphorus,1272960
2025/12/15,Netherlands,2018,Cyanides (as total CN),55
2025/12/15,Netherlands,2018,Ethylene oxide,7180
2025/12/15,Netherlands,2019,Nickel and compounds (as Ni),638.3000000000001
2025/12/15,Netherlands,2020,"1,2-dichloroethane (DCE-1,2)",61
2025/12/15,Netherlands,2020,Halogenated organic compounds (as AOX),72800
2025/12/15,Netherlands,2020,Total phosphorus,1106070
2025/12/15,Netherlands,2021,Ethylene oxide,12800
2025/12/15,Netherlands,2022,Nickel and compounds (as Ni),550.7
2025/12/15,Netherlands,2023,"1,2-dichloroethane (DCE-1,2)",50
2025/12/15,Netherlands,2023,Halogenated organic compounds (as AOX),40200
2025/12/15,Netherlands,2023,Total phosphorus,1042390
2025/12/15,Netherlands,2024,Naphthalene,14.3
2025/12/15,Poland,2008,Cyanides (as total CN),945.1
2025/12/15,Poland,2009,Asbestos,7.8
2025/12/15,Poland,2009,Nickel and compounds (as Ni),45856.8
2025/12/15,Poland,2010,Aldrin,1.01
2025/12/15,Poland,2010,Halogenated organic compounds (as AOX),337200
2025/12/15,Poland,2012,Asbestos,3.83
2025/12/15,Poland,2012,Nickel and compounds (as Ni),13938
2025/12/15,Poland,2013,Cadmium and compounds (as Cd),19393.920000000002
2025/12/15,Poland,2013,Halogenated organic compounds (as AOX),304280
2025/12/15,Poland,2013,Tetrachloroethylene,19.3
2025/12/15,Poland,2015,Total nitrogen,1359700
2025/12/15,Poland,2016,Cadmium and compounds (as Cd),1800.87
2025/12/15,Poland,2016,Halogenated organic compounds (as AOX),366500
2025/12/15,Poland,2017,Polycyclic aromatic hydrocarbons (PAHs),48.4
2025/12/15,Poland,2017,Zinc and compounds (as Zn),78867
2025/12/15,Poland,2018,Total nitrogen,1277900
2025/12/15,Poland,2019,Cadmium and compounds (as Cd),4811.280000000001
2025/12/15,Poland,2019,Phenols (as total C),1067631.8
2025/12/15,Poland,2020,Polycyclic aromatic hydrocarbons (PAHs),5.24
2025/12/15,Poland,2020,Zinc and compounds (as Zn),61635
2025/12/15,Poland,2021,Total nitrogen,1228500
2025/12/15,Poland,2022,Cadmium and compounds (as Cd),7707.3
2025/12/15,Poland,2022,Phenols (as total C),862109.9999999999
2025/12/15,Poland,2023,Polycyclic aromatic hydrocarbons (PAHs),40
2025/12/15,Poland,2023,Zinc and compounds (as Zn),76973
2025/12/15,Poland,2024,Copper and compounds (as Cu),18477.4
2025/12/15,Poland,2024,Total nitrogen,1937100
2025/12/15,Portugal,2007,Copper and compounds (as Cu),775.1
2025/12/15,Portugal,2007,Fluorides (as total F),2420
2025/12/15,Portugal,2008,Toluene,399
2025/12/15,Portugal,2010,Copper and compounds (as Cu),1209.8999999999999
2025/12/15,Portugal,2010,Fluorides (as total F),54600
2025/12/15,Portugal,2010,Vinyl chloride,188
2025/12/15,Portugal,2011,Toluene,8830
2025/12/15,Portugal,2012,Cyanides (as total CN),3416.6000000000004
2025/12/15,Portugal,2013,Fluorides (as total F),31400
2025/12/15,Portugal,2013,Vinyl chloride,328
2025/12/15,Portugal,2015,Cyanides (as total CN),503.4
2025/12/15,Portugal,2016,Nickel and compounds (as Ni),1876.6000000000004
2025/12/15,Portugal,2016,Vinyl chloride,128
2025/12/15,Portugal,2017,Total phosphorus,5670
2025/12/15,Portugal,2018,Cyanides (as total CN),1025.9
2025/12/15,Portugal,2018,Total organic carbon(as total C or COD/3) (TOC),7680700
2025/12/15,Portugal,2019,Nickel and compounds (as Ni),1210.6
2025/12/15,Portugal,2019,Vinyl chloride,120
2025/12/15,Portugal,2020,Anthracene,1.88
2025/12/15,Portugal,2020,Total phosphorus,51330
2025/12/15,Portugal,2021,Total organic carbon(as total C or COD/3) (TOC),5167400
2025/12/15,Portugal,2022,Nickel and compounds (as Ni),795.9000000000001
2025/12/15,Portugal,2023,Anthracene,8.77
2025/12/15,Portugal,2023,Arsenic and compounds (as As),118.06
2025/12/15,Portugal,2023,Total phosphorus,121940
