PublicationDate,countryName,reportingYear,wasteTreatment,wasteClassification,wasteTransfers
2025/12/15,Sweden,2016,Disposal,NONHW,1232563.4100000001
2025/12/15,Romania,2021,Recovery,NONHW,4101410.325
2025/12/15,Serbia,2021,Disposal,HW,2999.992
2025/12/15,Slovakia,2011,Recovery,HW,26250.637499999997
2025/12/15,Portugal,2023,Recovery,HW,176867.575
2025/12/15,Switzerland,2019,Disposal,HW,463055.16699999996
2025/12/15,France,2011,Recovery,NONHW,13897601.930999998
2025/12/15,Hungary,2017,Disposal,NONHW,2033050
2025/12/15,Slovakia,2022,Recovery,HW,51461.979999999996
2025/12/15,Switzerland,2022,Recovery,NONHW,617526.718
2025/12/15,Sweden,2023,Disposal,NONHW,879527.3308999998
2025/12/15,Greece,2019,Disposal,NONHW,57543.729999999996
2025/12/15,Hungary,2020,Disposal,NONHW,926050
2025/12/15,Ireland,2022,Recovery,HW,241883.25950000001
2025/12/15,Estonia,2007,Recovery,HW,119550.68999999999
2025/12/15,Portugal,2009,Recovery,HW,84441.17819999998
2025/12/15,Italy,2009,Recovery,NONHW,11800278.761999998
2025/12/15,Luxembourg,2022,Recovery,HW,78211.59999999999
2025/12/15,Austria,2020,Recovery,HW,294734.823
2025/12/15,France,2012,Disposal,NONHW,4970800.35
2025/12/15,Luxembourg,2007,Recovery,HW,94139.37599999999
2025/12/15,Malta,2022,Disposal,HW,4599.996999999999
2025/12/15,Romania,2024,Disposal,HW,62924.70070000001
2025/12/15,Austria,2009,Recovery,HW,224552.97300000003
2025/12/15,Latvia,2013,Recovery,NONHW,225761.2
2025/12/15,Spain,2016,Disposal,HW,859833.3539099998
2025/12/15,Norway,2017,Recovery,NONHW,570177.7
2025/12/15,Bulgaria,2014,Disposal,NONHW,9854470
2025/12/15,Ireland,2019,Recovery,HW,360567.4095000001
2025/12/15,Switzerland,2015,Recovery,NONHW,703070
2025/12/15,Poland,2020,Disposal,NONHW,14844238.427000001
2025/12/15,Spain,2024,Disposal,NONHW,3589799.2816000003
2025/12/15,Ireland,2010,Disposal,HW,64938.288000000015
2025/12/15,Austria,2018,Recovery,NONHW,2284136.9
2025/12/15,Luxembourg,2011,Recovery,HW,48509.247999999985
2025/12/15,Greece,2007,Recovery,NONHW,521397.7
2025/12/15,Romania,2009,Recovery,HW,139898.656
2025/12/15,Ireland,2021,Recovery,NONHW,4623125.182800002
2025/12/15,Portugal,2018,Recovery,NONHW,2081659.9897
2025/12/15,Belgium,2008,Disposal,HW,615142.7629999999
2025/12/15,Sweden,2022,Recovery,NONHW,6824374.8
2025/12/15,Netherlands,2020,Recovery,HW,2887513.274000001
2025/12/15,Malta,2008,Recovery,NONHW,2000
2025/12/15,Latvia,2009,Disposal,NONHW,33396.32
2025/12/15,United Kingdom,2019,Recovery,HW,2565498.12
2025/12/15,Hungary,2009,Recovery,HW,61291.30700000002
2025/12/15,Spain,2019,Recovery,NONHW,9421998.936
2025/12/15,Italy,2016,Recovery,NONHW,18720236.882
2025/12/15,Romania,2024,Recovery,NONHW,4726798.8467
2025/12/15,Croatia,2022,Recovery,NONHW,631476.7
2025/12/15,Sweden,2007,Recovery,HW,291737.17999999993
2025/12/15,Germany,2009,Disposal,HW,2482351.8891
2025/12/15,Czechia,2022,Recovery,HW,125096.05592400001
2025/12/15,Estonia,2015,Disposal,HW,2150606.293000001
2025/12/15,Portugal,2024,Recovery,HW,163297.713
2025/12/15,Switzerland,2011,Disposal,HW,397672.814
2025/12/15,Netherlands,2020,Disposal,NONHW,2370682.247
2025/12/15,Luxembourg,2016,Disposal,HW,9200.67
2025/12/15,Portugal,2007,Recovery,NONHW,1443848.5001
2025/12/15,Cyprus,2013,Disposal,NONHW,19947
2025/12/15,Croatia,2018,Recovery,NONHW,327650.61
2025/12/15,Poland,2021,Recovery,HW,718224.5472000001
2025/12/15,Ireland,2018,Disposal,HW,92573.98329999996
2025/12/15,Poland,2015,Recovery,HW,477831.6224999999
2025/12/15,Denmark,2019,Recovery,NONHW,2778966.323
2025/12/15,Poland,2012,Disposal,NONHW,14115957.257
2025/12/15,Spain,2018,Recovery,HW,863155.2303
2025/12/15,Denmark,2015,Disposal,HW,97451.717
2025/12/15,Spain,2012,Recovery,NONHW,8928723.394799998
2025/12/15,Sweden,2016,Recovery,HW,616692.926
2025/12/15,Ireland,2023,Recovery,HW,199944.092
2025/12/15,Latvia,2018,Disposal,HW,16759.066000000006
2025/12/15,Sweden,2009,Recovery,HW,288921.831
2025/12/15,Norway,2012,Disposal,NONHW,642789.74
2025/12/15,Italy,2010,Recovery,NONHW,13984776.595999999
2025/12/15,Romania,2011,Disposal,HW,48439.022
2025/12/15,Latvia,2020,Disposal,HW,20341.522
2025/12/15,Romania,2019,Disposal,NONHW,1138204.8207999999
2025/12/15,Hungary,2024,Recovery,NONHW,2140376.63
2025/12/15,Netherlands,2023,Disposal,HW,714249.6770000001
2025/12/15,Estonia,2012,Recovery,NONHW,539779.6
2025/12/15,Czechia,2019,Recovery,NONHW,3430029.873898999
2025/12/15,Cyprus,2023,Recovery,NONHW,82354.7
2025/12/15,Sweden,2008,Recovery,NONHW,3131520.7
2025/12/15,Romania,2013,Recovery,NONHW,3890819.2550000004
2025/12/15,Ireland,2016,Disposal,HW,80504.15540000002
2025/12/15,Slovakia,2012,Disposal,HW,79157.48500000002
2025/12/15,Denmark,2010,Recovery,HW,204541.43
2025/12/15,Romania,2017,Disposal,HW,63347.29679999999
2025/12/15,Greece,2016,Disposal,NONHW,1734696.71
2025/12/15,France,2014,Recovery,HW,1920276.6181500002
2025/12/15,Italy,2015,Recovery,HW,15548472.974500002
2025/12/15,Luxembourg,2017,Recovery,HW,49628.134999999995
2025/12/15,Denmark,2021,Disposal,HW,118268.25309999999
2025/12/15,Ireland,2013,Disposal,HW,72666.313
2025/12/15,France,2021,Recovery,HW,2171272.247238
2025/12/15,Serbia,2011,Disposal,NONHW,39970
2025/12/15,Sweden,2011,Recovery,NONHW,4835335.1
2025/12/15,Slovakia,2017,Disposal,NONHW,452488.01
2025/12/15,Finland,2013,Recovery,HW,206614.47
2025/12/15,Croatia,2021,Disposal,HW,23176.482999999993
2025/12/15,Malta,2014,Recovery,HW,3309.854
2025/12/15,Poland,2012,Recovery,HW,545646.9254
2025/12/15,France,2010,Recovery,NONHW,11973376.402000003
2025/12/15,Lithuania,2019,Disposal,NONHW,14232.439999999999
2025/12/15,Hungary,2018,Disposal,HW,205450.52999999997
2025/12/15,Greece,2012,Recovery,HW,46728.659999999996
2025/12/15,Switzerland,2021,Disposal,NONHW,260077.90000000002
2025/12/15,Romania,2012,Disposal,NONHW,3226238.717
2025/12/15,Italy,2022,Disposal,NONHW,11708082.182500001
2025/12/15,Portugal,2017,Recovery,HW,143351.18099999998
2025/12/15,France,2013,Recovery,NONHW,15800569.394
2025/12/15,Bulgaria,2021,Disposal,HW,43412
2025/12/15,Bulgaria,2011,Disposal,HW,7819.58
2025/12/15,Sweden,2014,Recovery,NONHW,5932913
2025/12/15,Sweden,2010,Recovery,HW,370645.438
2025/12/15,Finland,2023,Recovery,NONHW,6616606.55
2025/12/15,Serbia,2012,Recovery,NONHW,426790
2025/12/15,Spain,2012,Disposal,HW,920590.5844000004
2025/12/15,Austria,2007,Recovery,HW,219005
2025/12/15,Czechia,2007,Disposal,NONHW,1756467.839
2025/12/15,Sweden,2013,Recovery,HW,422820.933
2025/12/15,Romania,2016,Disposal,NONHW,1277825.2895
2025/12/15,Finland,2013,Disposal,NONHW,2336151.1599999997
2025/12/15,Portugal,2012,Disposal,NONHW,639388.8330000001
2025/12/15,Luxembourg,2017,Disposal,NONHW,200772.34999999998
2025/12/15,Estonia,2021,Disposal,HW,37211.451
2025/12/15,Romania,2020,Disposal,HW,57173.106999999996
2025/12/15,Iceland,2016,Recovery,HW,12762
2025/12/15,Romania,2018,Recovery,NONHW,4360177.24
2025/12/15,United Kingdom,2011,Disposal,NONHW,43487837.470000006
2025/12/15,Germany,2013,Recovery,HW,8777160.583125003
2025/12/15,Portugal,2020,Recovery,HW,160909.264
2025/12/15,Austria,2023,Recovery,NONHW,2526477
2025/12/15,Malta,2016,Disposal,HW,5826.991000000001
2025/12/15,Denmark,2018,Recovery,NONHW,2456745.316
2025/12/15,Greece,2018,Recovery,NONHW,703818
2025/12/15,Hungary,2014,Recovery,HW,208208.34000000008
2025/12/15,Belgium,2019,Disposal,NONHW,2324746.112
2025/12/15,Austria,2012,Recovery,NONHW,2762665
2025/12/15,Latvia,2009,Recovery,HW,5156.03
2025/12/15,Spain,2022,Disposal,NONHW,3223407.6720000003
2025/12/15,Greece,2010,Recovery,NONHW,662718.7
2025/12/15,Slovenia,2015,Recovery,NONHW,438479.227
2025/12/15,France,2022,Recovery,NONHW,18443246.63129
2025/12/15,Bulgaria,2008,Disposal,HW,66058.1
2025/12/15,Spain,2018,Disposal,NONHW,10754587.545
2025/12/15,United Kingdom,2012,Recovery,NONHW,65955257.39999999
2025/12/15,Latvia,2017,Disposal,HW,435.5
2025/12/15,Italy,2013,Disposal,HW,4801683.580999999
2025/12/15,Greece,2012,Disposal,NONHW,1733811
2025/12/15,Iceland,2011,Recovery,HW,11380
2025/12/15,Germany,2009,Recovery,NONHW,56390067.84199999
2025/12/15,Denmark,2017,Recovery,NONHW,1116115.73
2025/12/15,Cyprus,2021,Recovery,NONHW,80970
2025/12/15,Austria,2017,Disposal,HW,262858.009
2025/12/15,United Kingdom,2016,Recovery,NONHW,80409180.83000001
2025/12/15,Sweden,2009,Recovery,NONHW,3440656.3
2025/12/15,Spain,2007,Disposal,NONHW,12120766.0484
2025/12/15,Iceland,2015,Recovery,NONHW,111970
2025/12/15,Serbia,2018,Disposal,HW,29732
2025/12/15,Bulgaria,2022,Recovery,NONHW,1740326.9349999998
2025/12/15,Slovakia,2017,Recovery,HW,47450.954
2025/12/15,Switzerland,2016,Recovery,HW,219690.91600000003
2025/12/15,Denmark,2012,Disposal,NONHW,265638.54
