NUTS_ID,year,co2_region_t,log_emissions,d_log_emissions,dii_regional_composite,n_components,CNTR_CODE
DK03,2024,2550983936.1219,21.65974497899567,0.14629044263386604,0.35056674772694363,2.0,DK
DK03,2025,,,,1.6599211596722476,4.0,DK
DK04,2007,2923000000.0,21.79587632307552,,,,DK
DK04,2008,3305000000.0,21.91870231025006,0.12282598717454007,,,DK
DK04,2009,3088000000.0,21.850789469108943,-0.06791284114111917,,,DK
DK04,2010,2829000000.0,21.763189129265843,-0.08760033984309956,,,DK
DK04,2011,2356000000.0,21.580231102735752,-0.1829580265300912,,,DK
DK04,2012,2427000000.0,21.609921763690874,0.029690660955122183,,,DK
DK04,2013,2778000000.0,21.744997081278562,0.1350753175876882,,,DK
DK04,2014,1850000000.0,21.338451476036646,-0.4065456052419165,,,DK
DK04,2015,1480000000.0,21.115307924722433,-0.22314355131421237,,,DK
DK04,2016,1488000000.0,21.12069877335731,0.005390848634878154,,,DK
DK04,2017,686000000.0,20.34638818569016,-0.7743105876671521,,,DK
DK04,2018,1186474369.0,20.894252031415444,0.5478638457252849,,,DK
DK04,2019,717996291.0,20.391974961260996,-0.5022770701544488,,,DK
DK04,2020,893125637.0,20.610237819874182,0.21826285861318695,,,DK
DK04,2021,1228839191.9,20.929335814298934,0.3190979944247516,,,DK
DK04,2022,1373974425.399008,21.040973417326622,0.11163760302768821,,,DK
DK04,2023,1697402064.7,21.252364721888885,0.2113913045622624,0.5357350688842368,2.0,DK
DK04,2024,2324767322.0,21.5668857944186,0.31452107252971473,1.750169749556369,2.0,DK
DK04,2025,,,,2.7328095199933005,4.0,DK
DK05,2007,5520000000.0,22.431643697235415,,,,DK
DK05,2008,4250000000.0,22.170184819882735,-0.2614588773526805,,,DK
DK05,2009,3996000000.0,22.10855969773272,-0.0616251221500157,,,DK
DK05,2010,4110000000.0,22.136688865454555,0.028129167721836268,,,DK
DK05,2011,3470000000.0,21.96742043090518,-0.16926843454937668,,,DK
DK05,2012,3060000000.0,21.8416807529107,-0.12573967799447772,,,DK
DK05,2013,3924000000.0,22.090377378649528,0.24869662573882678,,,DK
DK05,2014,3869000000.0,22.076261912664787,-0.014115465984740894,,,DK
DK05,2015,3334000000.0,21.927438621275012,-0.14882329138977468,,,DK
DK05,2016,2234000000.0,21.52705953759342,-0.40037908368159236,,,DK
DK05,2017,2584000000.0,21.672604422866765,0.14554488527334541,,,DK
DK05,2018,3612674000.0,22.007714055314977,0.3351096324482121,,,DK
DK05,2019,3291971000.0,21.914752310487923,-0.0929617448270541,,,DK
DK05,2020,2668709262.0,21.704860770000344,-0.20989154048757896,,,DK
DK05,2021,3923110544.85,22.09015068242836,0.38528991242801425,,,DK
DK05,2022,3331567814.5,21.926708845305246,-0.16344183712311278,,,DK
DK05,2023,2771898467.0,21.742798289536864,-0.18391055576838156,0.44153797004024253,2.0,DK
DK05,2024,2545234313.2,21.657488550765905,-0.0853097387709596,0.38326639165354726,2.0,DK
DK05,2025,,,,1.3862930981790322,4.0,DK
EE00,2007,14400000000.0,23.390494043528367,,,,EE
EE00,2008,12587000000.0,23.25593037225578,-0.13456367127258773,,,EE
EE00,2009,9628000000.0,22.987941356867235,-0.2679890153885438,,,EE
EE00,2010,13965000000.0,23.35982003634355,0.37187867947631403,,,EE
EE00,2011,13713000000.0,23.341610124964127,-0.018209911379422294,,,EE
EE00,2012,12737000000.0,23.267776980554032,-0.07383314441009503,,,EE
EE00,2013,15667000000.0,23.47482242635776,0.20704544580372897,,,EE
EE00,2014,15117000000.0,23.439085775312982,-0.035736651044778966,,,EE
EE00,2015,12186000000.0,23.223553588772713,-0.21553218654026907,,,EE
EE00,2016,13922000000.0,23.356736159692886,0.13318257092017305,,,EE
EE00,2017,24702000000.0,23.930150048962233,0.5734138892693466,,,EE
EE00,2018,14644000000.0,23.407296532204402,-0.5228535167578308,,,EE
EE00,2019,9575000000.0,22.98242137201312,-0.4248751601912808,,,EE
EE00,2020,6872000000.0,22.650721021628364,-0.3317003503847573,,,EE
EE00,2021,8409000000.0,22.85256839779717,0.2018473761688071,,,EE
EE00,2022,9979000000.0,23.023748721848587,0.17118032405141648,,,EE
EE00,2023,6458000000.0,22.588585509282495,-0.43516321256609203,,,EE
EE00,2024,6214000000.0,22.550070647917266,-0.03851486136522908,,,EE
EL30,2007,7896000000.0,22.78962213907759,,,,EL
EL30,2008,7562000000.0,22.746401542415153,-0.043220596662436606,,,EL
EL30,2009,5533000000.0,22.433996000862383,-0.31240554155277067,,,EL
EL30,2010,4074000000.0,22.127891154751026,-0.30610484611135647,,,EL
EL30,2011,3117000000.0,21.860136837731613,-0.26775431701941343,,,EL
EL30,2012,2750000000.0,21.734866748624892,-0.12527008910672066,,,EL
EL30,2013,4141000000.0,22.14420314150984,0.40933639288494916,,,EL
EL30,2014,4557000000.0,22.239930349228157,0.09572720771831555,,,EL
EL30,2015,3918000000.0,22.08884715646876,-0.15108319275939763,,,EL
EL30,2016,4460000000.0,22.218414602978385,0.12956744650962548,,,EL
EL30,2017,4477000000.0,22.22221901620524,0.003804413226855985,,,EL
EL30,2018,4270000000.0,22.174879664186946,-0.047339352018294534,,,EL
EL30,2019,4584000000.0,22.24583781635885,0.07095815217190449,,,EL
EL30,2020,4520000000.0,22.231777830790552,-0.014059985568298572,,,EL
EL30,2021,5238800000.0,22.379358301419522,0.14758047062897006,,,EL
EL30,2022,4571000000.0,22.24299783629602,-0.1363604651235022,,,EL
EL30,2023,4461000000.0,22.218638793092538,-0.024359043203482145,,,EL
EL30,2024,4750600000.0,22.281536762805267,0.06289796971272921,,,EL
EL41,2007,302000000.0,19.525937575339142,,,,EL
EL41,2008,150000000.0,18.82614585206053,-0.6997917232786115,,,EL
EL41,2009,284000000.0,19.46448479612548,0.6383389440649481,,,EL
EL41,2010,308000000.0,19.54561034093785,0.08112554481236955,,,EL
EL41,2011,305000000.0,19.535822334571687,-0.009788006366161284,,,EL
EL41,2012,300000000.0,19.519293032620475,-0.016529301951212716,,,EL
EL41,2013,277000000.0,19.439528064151613,-0.0797649684688615,,,EL
EL41,2014,275000000.0,19.432281655630845,-0.007246408520767744,,,EL
EL41,2015,288000000.0,19.47847103810022,0.04618938246937532,,,EL
EL41,2016,292000000.0,19.492264360232557,0.013793322132336527,,,EL
EL41,2017,294000000.0,19.499090325302955,0.006825965070397899,,,EL
EL41,2019,295000000.0,19.502485914304096,0.0033955890011405643,,,EL
EL41,2020,283000000.0,19.460957455607513,-0.041528458696582504,,,EL
EL41,2021,282000000.0,19.457417628902387,-0.0035398267051256482,,,EL
EL41,2022,258000000.0,19.36847014288589,-0.08894748601649738,,,EL
EL41,2023,261000000.0,19.380030965286966,0.011560822401076365,,,EL
EL41,2024,260000000.0,19.3761921889798,-0.003838776307166114,,,EL
EL42,2007,836000000.0,20.544139171048975,,,,EL
EL42,2008,856000000.0,20.567780934106015,0.023641763057039356,,,EL
EL42,2009,852000000.0,20.56309708479359,-0.004683849312424826,,,EL
EL42,2010,834000000.0,20.54174396032302,-0.021353124470568474,,,EL
EL42,2011,832000000.0,20.539342998785482,-0.0024009615375391036,,,EL
EL42,2012,814000000.0,20.517470923966815,-0.02187207481866693,,,EL
EL42,2013,671000000.0,20.324279694935957,-0.19319122903085884,,,EL
EL42,2014,756000000.0,20.44355193414381,0.11927223920785224,,,EL
EL42,2015,941000000.0,20.662453697549655,0.21890176340584588,,,EL
EL42,2016,950000000.0,20.671972542558862,0.00951884500920741,,,EL
EL42,2017,1104000000.0,20.822205784801316,0.1502332422424537,,,EL
EL42,2018,482000000.0,19.993454672014874,-0.828751112786442,,,EL
EL42,2019,908000000.0,20.62675493656557,0.6333002645506944,,,EL
EL42,2020,648000000.0,20.289401254316548,-0.3373536822490202,,,EL
EL42,2021,775000000.0,20.468373587317622,0.17897233300107374,,,EL
EL42,2022,910000000.0,20.62895515747517,0.1605815701575466,,,EL
EL42,2023,954000000.0,20.67617422941256,0.04721907193739128,,,EL
EL42,2024,1010000000.0,20.73321616779958,0.05704193838701954,,,EL
EL43,2007,2008000000.0,21.420405038775893,,,,EL
EL43,2008,1780000000.0,21.299879201250405,-0.12052583752548784,,,EL
EL43,2009,2013000000.0,21.422891983604064,0.12301278235365842,,,EL
EL43,2010,1995000000.0,21.413909887288238,-0.008982096315826027,,,EL
EL43,2011,1868000000.0,21.348134176753064,-0.06577571053517417,,,EL
EL43,2012,1861000000.0,21.344379814606526,-0.00375436214653746,,,EL
EL43,2013,1731000000.0,21.27196511314048,-0.07241470146604456,,,EL
EL43,2014,1828000000.0,21.32648830997837,0.054523196837887866,,,EL
EL43,2015,1836000000.0,21.33085512914471,0.0043668191663392975,,,EL
EL43,2016,1830000000.0,21.327581803799742,-0.0032733253449670485,,,EL
EL43,2017,1892000000.0,21.3609003075761,0.033318503776357034,,,EL
EL43,2018,1939000000.0,21.385438213206925,0.024537905630825918,,,EL
EL43,2019,1957000000.0,21.39467852536035,0.0092403121534268,,,EL
EL43,2020,1725000000.0,21.268492887429733,-0.1261856379306181,,,EL
EL43,2021,1702000000.0,21.255069867097593,-0.013423020332140823,,,EL
EL43,2022,1609000000.0,21.19887870495666,-0.05619116214093367,,,EL
EL43,2023,1353000000.0,21.025590186135062,-0.17328851882159668,,,EL
EL43,2024,1409000000.0,21.066146069862953,0.04055588372789032,,,EL
EL51,2007,1433000000.0,21.083035985792446,,,,EL
EL51,2008,1453000000.0,21.096896221534557,0.013860235742111371,,,EL
EL51,2009,988000000.0,20.711193255712143,-0.38570296582241426,,,EL
EL51,2010,799000000.0,20.49887150373055,-0.21232175198159453,,,EL
EL51,2011,773000000.0,20.465789606551695,-0.033081897178853126,,,EL
EL51,2012,556000000.0,20.136278852214858,-0.3295107543368374,,,EL
EL51,2013,503000000.0,20.036100728064014,-0.10017812415084393,,,EL
EL51,2014,391000000.0,19.78421811794964,-0.2518826101143752,,,EL
EL51,2015,446000000.0,19.915829509984338,0.1316113920346993,,,EL
EL51,2016,820000000.0,20.524814898222573,0.608985388238235,,,EL
EL51,2017,975000000.0,20.69794802896212,0.17313313073954717,,,EL
EL51,2018,932000000.0,20.652843372649865,-0.045104656312254576,,,EL
EL51,2019,741000000.0,20.42351118326036,-0.22933218938950617,,,EL
EL51,2020,798000000.0,20.497619155414082,0.07410797215372256,,,EL
EL51,2021,976000000.0,20.698973144377366,0.20135398896328383,,,EL
EL51,2022,819000000.0,20.523594641817343,-0.1753785025600223,,,EL
EL51,2023,312000000.0,19.558513745773755,-0.9650808960435882,,,EL
EL51,2024,568000000.0,20.157631976685426,0.5991182309116709,,,EL
EL52,2007,2252000000.0,21.535084547223857,,,,EL
EL52,2008,2075000000.0,21.453226990629073,-0.08185755659478389,,,EL
EL52,2009,1502000000.0,21.130063390288353,-0.32316360034072034,,,EL
EL52,2010,1886000000.0,21.357724021157676,0.2276606308693232,,,EL
EL52,2011,1485000000.0,21.118680609201075,-0.23904341195660095,,,EL
EL52,2012,1558000000.0,21.166668784394968,0.04798817519389331,,,EL
EL52,2013,1774000000.0,21.2965027208338,0.1298339364388319,,,EL
EL52,2014,1347000000.0,21.021145734374638,-0.27535698645916185,,,EL
EL52,2015,1244000000.0,20.941597831263397,-0.07954790311124071,,,EL
EL52,2016,1778000000.0,21.298754974038125,0.357157142774728,,,EL
EL52,2017,1357000000.0,21.028542217799142,-0.27021275623898333,,,EL
EL52,2018,1355000000.0,21.027067291278076,-0.0014749265210660667,,,EL
EL52,2019,1669000000.0,21.23549048162611,0.20842319034803225,,,EL
EL52,2020,1396000000.0,21.05687684128659,-0.17861364033951688,,,EL
EL52,2021,1706000000.0,21.257417286015897,0.200540444729306,,,EL
EL52,2022,1512500000.0,21.13702974786927,-0.12038753814662684,,,EL
EL52,2023,1529000000.0,21.147879763893336,0.010850016024065212,,,EL
EL52,2024,1482000000.0,21.116658363820306,-0.031221400073029315,,,EL
EL53,2007,33125000000.0,24.223554121252796,,,,EL
EL53,2008,33950000000.0,24.248154690951115,0.024600569698318253,,,EL
EL53,2009,34094000000.0,24.252387252675145,0.004232561724030859,,,EL
EL53,2010,33864000000.0,24.245618340165034,-0.006768912510111136,,,EL
EL53,2011,34984000000.0,24.27815665105703,0.03253831089199721,,,EL
EL53,2012,36422000000.0,24.31843882462004,0.04028217356300701,,,EL
EL53,2013,31188000000.0,24.163299242393766,-0.15513958222627267,,,EL
EL53,2014,29090000000.0,24.093660309453522,-0.06963893294024359,,,EL
EL53,2015,24820000000.0,23.934915616722872,-0.15874469273065017,,,EL
EL53,2016,18850000000.0,23.65977875084043,-0.27513686588244113,,,EL
EL53,2017,20370000000.0,23.737329067185126,0.07755031634469489,,,EL
EL53,2018,19320000000.0,23.684406665730783,-0.05292240145434235,,,EL
EL53,2019,12690000000.0,23.26408011867271,-0.4203265470580746,,,EL
EL53,2020,7594000000.0,22.750624298756023,-0.5134558199166861,,,EL
EL53,2021,6594000000.0,22.60942598159595,-0.1411983171600717,,,EL
EL53,2022,6799000000.0,22.640041379490732,0.030615397894781182,,,EL
EL53,2023,3738000000.0,22.04181654597978,-0.598224833510951,,,EL
EL53,2024,4248000000.0,22.16971412088605,0.1278975749062674,,,EL
EL61,2007,2971000000.0,21.812164433426883,,,,EL
EL61,2008,2752000000.0,21.735593757017508,-0.07657067640937498,,,EL
EL61,2009,1790000000.0,21.305481456799075,-0.4301123002184326,,,EL
EL61,2010,1440000000.0,21.08790895053432,-0.2175725062647551,,,EL
EL61,2011,955000000.0,20.677221898445005,-0.41068705208931533,,,EL
EL61,2012,1370000000.0,21.038076576786445,0.3608546783414397,,,EL
EL61,2013,1330000000.0,21.008444779180074,-0.02963179760637047,,,EL
EL61,2014,1290000000.0,20.977908055319993,-0.030536723860080883,,,EL
EL61,2015,1320000000.0,21.00089757354469,0.022989518224697747,,,EL
EL61,2016,1450000000.0,21.094829393378895,0.09393181983420362,,,EL
EL61,2017,1330000000.0,21.008444779180074,-0.08638461419882049,,,EL
EL61,2018,1270000000.0,20.96228273741691,-0.046162041763164297,,,EL
EL61,2019,1250000000.0,20.94640938826062,-0.015873349156290573,,,EL
EL61,2020,1098000000.0,20.81675618003375,-0.12965320822686976,,,EL
EL61,2021,1080000000.0,20.80022687808254,-0.016529301951209163,,,EL
EL61,2022,1070000000.0,20.790924485420227,-0.009302392662313252,,,EL
EL61,2023,1064000000.0,20.785301227865865,-0.005623257554361771,,,EL
EL61,2024,1031000000.0,20.753795041981235,-0.03150618588463061,,,EL
