country_code,year,verified_emissions_t,log_emissions,d_log_emissions,digital_multi,digital_single,genai_share,climate_target_share,energy_efficiency_invest_share,energy_efficiency_firms_share,gdp_per_capita,industry_va_share,electricity_price,log_gdp_per_capita
RO,2024,22903082.0,16.946782044621536,-0.03967464373125651,0.32,0.39,,0.41,0.12,0.56,13090,19.1,0.13795000000000002,9.479603858903946
RO,2025,21101835.0,16.864870561489543,-0.08191148313199292,0.48,0.27,0.31,0.4,0.11,0.48,13190,18.6,0.1505,9.48721424571136
SE,2023,17234053.0,16.662397810093356,-0.024311200406305744,0.58,0.2,,0.68,0.12,0.51,47960,18.8,0.09255,10.77812260914145
SE,2024,16906770.0,16.64322469139384,-0.019173118699516323,0.58,0.26,,0.64,0.11,0.56,48770,17.7,0.08315,10.794870648704098
SE,2025,16181173.0,16.59935896387661,-0.04386572751722895,0.66,0.2,0.49,0.67,0.14,0.56,49250,17.2,0.08805,10.804664646600235
SI,2023,4582144.0,15.337677568826063,-0.05911419593377332,0.54,0.25,,0.34,0.14,0.58,25170,26.4,0.19825,10.133408088129361
SI,2024,5007459.0,15.426439158770169,0.08876158994410588,0.52,0.28,,0.38,0.17,0.59,25600,26.1,0.1542,10.150347630467653
SI,2025,3671417.0,15.116088249054195,-0.31035090971597334,0.56,0.24,0.41,0.42,0.14,0.53,25940,24.8,,10.163541457870435
SK,2023,16994172.0,16.648381019713657,-0.024647987975306762,0.35,0.39,,0.26,0.11,0.43,18750,23.4,0.22615,9.838949031398556
SK,2024,15308277.0,16.543904220477682,-0.10447679923597519,0.41,0.35,,0.34,0.16,0.54,19110,23.4,0.1693,9.857967037234319
SK,2025,14613054.0,16.497425796789727,-0.04647842368795452,0.49,0.29,0.35,0.33,0.15,0.5,19270,22.8,0.1656,9.866304761408411
