country_name,year,co2_eprtr,country_code,log_co2,d_log_co2
Malta,2012,2052000000.0,MT,21.442080764254936,0.05819093845413903
Netherlands,2007,58955000000.0,NL,24.800040277975047,
Netherlands,2008,64627000000.0,NL,24.89189811707176,0.09185783909671486
Netherlands,2009,54934000000.0,NL,24.729398301602362,-0.16249981546939907
Netherlands,2010,57716000000.0,NL,24.77880026838142,0.04940196677905817
Netherlands,2011,47705000000.0,NL,24.58830205115022,-0.19049821723120175
Netherlands,2012,48595000000.0,NL,24.606786481901846,0.0184844307516272
Netherlands,2013,55428000000.0,NL,24.73835071818288,0.13156423628103298
Netherlands,2014,56786000000.0,NL,24.76255565341937,0.024204935236490144
Netherlands,2015,51111000000.0,NL,24.657265575177927,-0.10529007824144188
Netherlands,2016,64665000000.0,NL,24.892485933813617,0.23522035863569002
Netherlands,2017,62588000000.0,NL,24.85983940338622,-0.03264653042739596
Netherlands,2018,59332000000.0,NL,24.806414626407776,-0.05342477697844572
Norway,2007,12539160000.0,NO,23.252122384261614,
Norway,2008,12290785000.0,NO,23.23211563155209,-0.020006752709523568
Norway,2009,11620474000.0,NO,23.176034379276597,-0.056081252275493654
Norway,2010,12470220000.0,NO,23.24660923882435,0.07057485954775444
Norway,2011,12084000000.0,NO,23.215148100470838,-0.03146113835351372
Norway,2012,11844950000.0,NO,23.195167453357875,-0.019980647112962657
Norway,2013,11957100000.0,NO,23.204591081150713,0.009423627792838118
Norway,2014,12439190000.0,NO,23.244117809597338,0.039526728446624304
Norway,2015,12216190000.0,NO,23.226027958114415,-0.01808985148292308
Norway,2016,12208820000.0,NO,23.225424478302234,-0.000603479812181007
Norway,2017,12471132000.0,NO,23.246682370385177,0.02125789208294293
Romania,2007,6511000000.0,RO,22.596758891201137,
Romania,2008,8009300000.0,RO,22.803869203446336,0.2071103122451987
Romania,2009,1840000000.0,RO,21.333031408567305,-1.4708377948790314
Romania,2010,3911700000.0,RO,22.08723789906181,0.7542064904945072
Romania,2011,3459500000.0,RO,21.96438990690314,-0.12284799215867181
Romania,2012,3255000000.0,RO,21.903458112606945,-0.06093179429619511
Romania,2013,1142900000.0,RO,20.856834728867828,-1.0466233837391172
Romania,2014,1247900000.0,RO,20.944727975478084,0.08789324661025688
Romania,2015,41100000.0,RO,17.531518679466462,-3.4132092960116225
Romania,2016,63500000.0,RO,17.96655046386292,0.4350317843964575
Romania,2017,39400000.0,RO,17.48927637426816,-0.4772740895947578
Romania,2018,45400000.0,RO,17.631022663011578,0.14174628874341622
Romania,2019,36900000.0,RO,17.423722109010754,-0.20730055400082392
Romania,2020,38200000.0,RO,17.458346073576802,0.034623964566048215
Romania,2021,36500000.0,RO,17.41282281855272,-0.04552325502408294
Romania,2022,37400000.0,RO,17.43718126238476,0.024358443832042553
Romania,2024,34300000.0,RO,17.35065591213617,-0.08652535024859276
Sweden,2007,13268346000.0,SE,23.308647035472326,
Sweden,2008,18023294000.0,SE,23.61493086931363,0.3062838338413023
Sweden,2009,14825196000.0,SE,23.41959400265343,-0.1953368666601989
Sweden,2010,21051005000.0,SE,23.770214139403052,0.35062013674962245
Sweden,2011,18931702000.0,SE,23.66410370832142,-0.10611043108163187
Sweden,2012,18008757000.0,SE,23.61412397653982,-0.04997973178160109
Sweden,2013,17236508000.0,SE,23.570295529461312,-0.04382844707850708
Sweden,2014,16715523000.0,SE,23.539603645590116,-0.030691883871195813
Sweden,2015,16665833500.0,SE,23.536626562456906,-0.002977083133210101
Sweden,2016,16985192510.0,SE,23.55560777261307,0.01898121015616283
Sweden,2017,17112858000.0,SE,23.56309594772199,0.007488175108921524
Sweden,2018,17144461430.0,SE,23.564941009711156,0.001845061989165231
Sweden,2019,15972214000.0,SE,23.49411642450491,-0.07082458520624613
Sweden,2020,14067150000.0,SE,23.367108128919543,-0.12700829558536597
Sweden,2021,15640563000.0,SE,23.473133568858138,0.1060254399385947
Sweden,2022,15225284000.0,SE,23.446223303898776,-0.026910264959361996
Sweden,2023,14715204210.66,SE,23.412147096256245,-0.034076207642531386
Sweden,2024,14147373530.22,SE,23.37279482756796,-0.03935226868828323
Slovenia,2007,6324000000.0,SI,22.567617756293636,
Slovenia,2008,7070000000.0,SI,22.67912631685489,0.11150856056125491
Slovenia,2009,2048000000.0,SI,21.44012954412367,-1.2389967727312197
Slovenia,2010,1268000000.0,SI,20.960706692961445,-0.4794228511622265
Slovenia,2011,1260000000.0,SI,20.954377557909798,-0.006329135051647228
Slovenia,2012,1239000000.0,SI,20.937570439593415,-0.016807118316382486
Slovenia,2013,1189000000.0,SI,20.896378454655057,-0.04119198493835796
Slovenia,2014,1214000000.0,SI,20.917186529583716,0.020808074928659437
Slovenia,2015,1224000000.0,SI,20.925390021036545,0.008203491452828615
Slovenia,2016,1213000000.0,SI,20.916362466908325,-0.009027554128220316
Slovenia,2017,1287000000.0,SI,20.9755797655604,0.05921729865207581
Slovenia,2018,1420291000.0,SI,21.074127617141848,0.09854785158144708
Slovenia,2019,1306561000.0,SI,20.990664331463794,-0.08346328567805372
Slovenia,2020,1210080931.0,SI,20.91395307944232,-0.07671125202147522
Slovenia,2021,1134527169.0,SI,20.849481809892133,-0.0644712695501859
Slovenia,2022,1192793000.0,SI,20.89956345285298,0.050081642960847716
Slovenia,2023,3680821355.0,SI,22.026401758516588,1.1268383056636075
Slovenia,2024,4001098226.0,SI,22.109834716882563,0.0834329583659752
United Kingdom,2007,12236900000.0,UK,23.227721813978984,
United Kingdom,2011,77668790000.0,UK,25.075719340526092,1.8479975265471076
United Kingdom,2012,86031790000.0,UK,25.17798271605855,0.10226337553245912
United Kingdom,2013,64729260000.0,UK,24.8934791773359,-0.28450353872264955
United Kingdom,2014,41927000000.0,UK,24.459195847751623,-0.43428332958427873
United Kingdom,2015,33610000000.0,UK,24.238089478683424,-0.22110636906819892
United Kingdom,2016,22865000000.0,UK,23.85287319405643,-0.38521628462699553
United Kingdom,2017,20592000000.0,UK,23.748168487800182,-0.10470470625624628
United Kingdom,2018,12080000000.0,UK,23.21481702945308,-0.5333514583471022
United Kingdom,2019,19973000000.0,UK,23.717647198429447,0.5028301689763666
