instrument,sample,spec,n,G,F_cluster,p_F,partial_R2,fs_coef,fs_se,k,cr1_reliable
Z_DOCSISzxG100,ACC2004+,S3 +GDPpc2013 x year FE,129,13,1.0078872719807943,0.33522458842520964,0.03379805380863299,0.0639288468276115,0.06367821634885822,25,False
Z_DSLxFTTP,all,S1 Phase-D controls,284,28,0.5964876553638045,0.44662946950671056,0.00760065037457569,0.11814486727100283,0.15297276921970562,15,True
Z_DSLxFTTP,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,0.785903011018813,0.3831702418427151,0.010923677445915159,-0.1329045332856337,0.1499185310996269,16,True
Z_DSLxFTTP,all,S3 +GDPpc2013 x year FE,284,28,0.6155061919599866,0.43955169242655956,0.00840083127308755,-0.11007934988075968,0.14031032896584034,26,True
Z_DSLxFTTP,all,S4 country FE + year FE,284,28,2.1717710646310353,0.1521285791106789,0.023548495394340896,0.3294469879319087,0.2235519795831608,41,False
Z_DSLxFTTP,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,0.0025255460267565215,0.9602892727455724,1.820385288364701e-05,-0.01000222118679183,0.19903012251966964,52,False
Z_DSLxFTTP,EU15,S1 Phase-D controls,155,15,0.214021748542539,0.650741826903091,0.006674869178712406,-0.22289356260432236,0.4818019704737161,14,True
Z_DSLxFTTP,EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,5.822177625357818,0.030114061627604216,0.055314909439493576,-0.5977204794920364,0.24771677121563426,15,True
Z_DSLxFTTP,EU15,S3 +GDPpc2013 x year FE,155,15,4.249942030146435,0.05832885098392093,0.04104789864719538,-0.4825589714567528,0.23407707992540328,25,False
Z_DSLxFTTP,ACC2004+,S1 Phase-D controls,129,13,1.271909048573574,0.28145376378193665,0.03767085604107101,0.13371710492076536,0.11856566370231231,14,False
Z_DSLxFTTP,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,0.04112092724620154,0.8427022639644138,0.0014068660999456695,-0.023311998499233582,0.11496034458949943,15,False
Z_DSLxFTTP,ACC2004+,S3 +GDPpc2013 x year FE,129,13,0.021080779855097997,0.8869693226543915,0.0007794358808768109,-0.016720874963209724,0.11516371412693979,25,False
Z_DSLxG100,all,S1 Phase-D controls,284,28,0.41395061592710125,0.5253985241303132,0.005609000227016825,0.07553370844413596,0.11739957940562162,15,True
Z_DSLxG100,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,0.5770757805187502,0.45404290865236896,0.008250280910287788,-0.08447913102032004,0.11120722764838144,16,True
Z_DSLxG100,all,S3 +GDPpc2013 x year FE,284,28,0.5760381809023487,0.45444472777171496,0.008291656153025295,-0.08054391010448535,0.1061224026556789,26,True
Z_DSLxG100,all,S4 country FE + year FE,284,28,4.557955387388568,0.04199384578542509,0.04474085004157735,0.5807759254689698,0.27203423993976916,41,False
Z_DSLxG100,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,0.25993416253965235,0.6143078623749985,0.0022483653612248578,0.14569125453793905,0.2857602401719092,52,False
Z_DSLxG100,EU15,S1 Phase-D controls,155,15,0.2669249106602752,0.6134663124993787,0.007792127576767838,-0.175869975691536,0.3404059562485807,14,True
Z_DSLxG100,EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,3.573457341318154,0.0795911793205083,0.04305670903969672,-0.3790068736856562,0.20049464862523605,15,True
Z_DSLxG100,EU15,S3 +GDPpc2013 x year FE,155,15,3.48541027853702,0.08299353232589879,0.03996501729596702,-0.34687984268750854,0.18580273811597067,25,False
Z_DSLxG100,ACC2004+,S1 Phase-D controls,129,13,1.1996104980568671,0.29489551973199435,0.03495146662738213,0.09511841312246505,0.08684492959134381,14,False
Z_DSLxG100,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,0.04514329742591374,0.8353070986743527,0.0017240804441175372,-0.018995205874770636,0.08940202703066491,15,False
Z_DSLxG100,ACC2004+,S3 +GDPpc2013 x year FE,129,13,0.01209387049644249,0.9142492188709853,0.0004832784058452777,-0.009717859611876312,0.08836656307388481,25,False
Z_G100xFTTP,all,S1 Phase-D controls,284,28,10.17561277101433,0.0035889711123956447,0.14305659941218996,0.26973444458931584,0.084558276560584,15,True
Z_G100xFTTP,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,2.166967528678114,0.1525654956203446,0.03352445872822041,0.13170320277132647,0.08946849553803002,16,True
Z_G100xFTTP,all,S3 +GDPpc2013 x year FE,284,28,1.24371720858862,0.2745840635283452,0.01908798412837298,0.09801669693742607,0.08788995485965626,26,True
Z_G100xFTTP,all,S4 country FE + year FE,284,28,8.479124395162216,0.0071227877686685925,0.07742653859174953,0.3208395267387444,0.11018243443098041,41,False
Z_G100xFTTP,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,2.821743120297876,0.10453182681416506,0.035802435280929856,0.216157239745842,0.12867999889174464,52,False
Z_G100xFTTP,EU15,S1 Phase-D controls,155,15,3.3272475385082725,0.08955438678823546,0.09892485106861992,0.2702514297920106,0.14815811506733825,14,True
Z_G100xFTTP,EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,0.7879248122158132,0.3897236764707094,0.02389631270921,0.13160365642045216,0.1482605364723411,15,True
Z_G100xFTTP,EU15,S3 +GDPpc2013 x year FE,155,15,0.46498730842158104,0.5064275935369158,0.014199173364561779,0.09923438627060296,0.14552635056605287,25,False
Z_G100xFTTP,ACC2004+,S1 Phase-D controls,129,13,11.300354129708762,0.005657423435339148,0.2683680553125736,0.24659721039162938,0.07335709634892724,14,False
Z_G100xFTTP,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,1.7143075296073877,0.21494338766993726,0.07361493178403378,0.1342838300684018,0.10256031674724474,15,False
Z_G100xFTTP,ACC2004+,S3 +GDPpc2013 x year FE,129,13,0.8309172858951718,0.37995499191570026,0.04691307419694446,0.1106636081698248,0.12140202455302954,25,False
Z_G100xG100,all,S1 Phase-D controls,284,28,8.57574554444322,0.006842380583067742,0.1323329995341449,0.19044081777761787,0.06503154838071257,15,True
Z_G100xG100,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,1.8552034270933517,0.1844357754662589,0.030601343908496004,0.0911613974149917,0.06692913388318832,16,True
Z_G100xG100,all,S3 +GDPpc2013 x year FE,284,28,0.8604090195137176,0.36184258526845214,0.01435731254802275,0.062287536328782096,0.06715041117668843,26,True
Z_G100xG100,all,S4 country FE + year FE,284,28,7.116087754785419,0.012756408087924442,0.058756129783238964,0.3352841727644119,0.12568759184421108,41,False
Z_G100xG100,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,1.737969921953985,0.19847115069664212,0.02185550568094108,0.20255437014937372,0.15364572800746887,52,False
Z_G100xG100,EU15,S1 Phase-D controls,155,15,2.7955533872979563,0.11671751964699617,0.09222037522904925,0.19182065274402038,0.11472589892762645,14,True
Z_G100xG100,EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,0.67258734084465,0.4258942517032106,0.02271739073834167,0.09337436539502564,0.11385531750593676,15,True
