NUTS_ID,year,dii_regional_composite,n_components
NO08,2025,0.8128719674032187,4
NO09,2023,0.45683631996006197,4
NO09,2024,0.2059087419078399,2
NO09,2025,0.1613006222032431,4
NO0A,2023,0.34459199178011407,4
NO0A,2024,0.004912290479353758,2
NO0A,2025,0.3454020275541926,4
PL21,2025,-0.5648080878557333,4
PL22,2025,-0.6499409245137495,4
PL41,2025,-0.5348924060659248,4
PL42,2025,-0.695242515302419,4
PL43,2025,-0.6566726103648168,4
PL51,2025,-0.6264128558272029,4
PL52,2025,-0.5989935447888268,4
PL61,2025,-0.6174166919288689,4
PL62,2025,-1.1392081594500425,4
PL63,2025,-0.6274275525051647,4
PL71,2025,-0.7395896330218543,4
PL72,2025,-0.7237602092503872,4
PL81,2025,-0.7808155355005789,4
PL82,2025,-0.4955533458604613,4
PL84,2025,-0.7153707156358413,4
PL91,2025,0.09507896011664142,4
PL92,2025,-0.9589748082452739,4
RO11,2023,-1.0249552446532522,4
RO12,2023,-0.92342444971113,4
RO21,2023,-0.8427047069438085,4
RO22,2023,-1.4595834826709404,4
RO31,2023,-1.1834830246224488,4
RO32,2023,-0.47712991755865647,4
RO41,2023,-1.2611866324198644,4
RO42,2023,-0.9210125194852103,4
SE12,2025,0.6868727986903249,4
SE21,2025,0.481523983862832,3
SE22,2025,1.0746904562321125,4
SE23,2025,1.0590756620336843,4
SE31,2025,0.6637542183191169,1
SE32,2025,0.8471272227141758,1
SE33,2025,-0.24744897517649278,1
SI03,2023,-0.025131745563256425,4
SI03,2024,0.10177668834074932,2
SI03,2025,-0.19159748217143055,4
SI04,2023,0.13156226985295386,4
SI04,2024,0.2399068194832491,2
SI04,2025,0.41636413939947076,4
SK01,2023,-0.6849959877924312,4
SK01,2024,0.04751181952840336,2
SK01,2025,0.2316467536086815,4
SK02,2023,-0.9960222040949475,4
SK02,2024,-0.8324352192874005,2
SK02,2025,-0.35175482739251457,4
SK03,2023,-0.728787930095873,4
SK03,2024,-0.9278056554304834,2
SK03,2025,0.04483651805407268,4
SK04,2023,-0.7183881220275795,4
SK04,2024,-1.0742056467372207,2
SK04,2025,-0.7990596706732742,4
