country_code,year,d_log_emissions,digital_multi,log_gdp_per_capita,industry_va_share,electricity_price,log_gdp_per_capita_lag,industry_va_share_lag,electricity_price_lag,d_log_gdp,d_industry_va_share,d_electricity_price
HU,2024,-0.04860748691666217,0.25,9.693383614729722,21.7,0.1847,9.683464128558162,23.3,0.2494,0.00991948617155991,-1.6000000000000014,-0.06470000000000001
HU,2025,-0.14576934411348574,0.37,9.70320567036518,20.7,0.17495,9.693383614729722,21.7,0.1847,0.009822055635458682,-1.0,-0.009750000000000009
IE,2024,-0.07663970691293187,0.47,11.39975676686459,32.0,0.22875,11.380878684049897,33.0,0.26544999999999996,0.01887808281469283,-1.0,-0.036699999999999955
IE,2025,-0.05678887541500899,0.45,11.460895056875843,32.2,0.2255,11.39975676686459,32.0,0.22875,0.061138290011253815,0.20000000000000284,-0.003250000000000003
IT,2024,-0.12405247410096365,0.44,10.401227936753463,19.8,0.1739,10.392987389587367,20.3,0.20975,0.008240547166096235,-0.5,-0.03584999999999999
IT,2025,-0.0021669524024652276,0.45,10.406684149137627,19.7,0.18464999999999998,10.401227936753463,19.8,0.1739,0.005456212384164161,-0.10000000000000142,0.010749999999999982
LU,2024,-0.06134952155888662,0.3,11.522875795823397,5.7,0.15635,11.535176073905049,5.7,0.19485,-0.012300278081651683,0.0,-0.038500000000000006
LU,2025,-0.21887316166980142,0.36,11.516718263208924,5.1,0.1454,11.522875795823397,5.7,0.15635,-0.006157532614473382,-0.6000000000000005,-0.010949999999999988
LV,2025,0.03627793879160457,0.6,9.771098364490383,15.1,0.14065,9.735660441892627,15.3,0.1499,0.035437922597756355,-0.20000000000000107,-0.009250000000000008
NL,2024,0.016445648532364743,0.57,10.837028637816811,15.0,0.16255,10.832891923555666,15.1,0.20955000000000001,0.004136714261145258,-0.09999999999999964,-0.047000000000000014
NL,2025,0.03268202024550959,0.65,10.847393451443256,15.0,0.1523,10.837028637816811,15.0,0.16255,0.010364813626445368,0.0,-0.010250000000000009
PL,2024,-0.028578014866965873,0.41,9.711721536914174,22.9,0.13615,9.67721410821299,25.6,0.14905,0.034507428701184395,-2.700000000000003,-0.012899999999999995
PL,2025,-0.2665228593899833,0.42,9.75091895389152,21.6,0.13945,9.711721536914174,22.9,0.13615,0.03919741697734658,-1.2999999999999972,0.0032999999999999974
PT,2024,-0.11971489802612112,0.41,10.015476054484175,16.4,0.1149,10.004689433045096,16.6,0.158,0.01078662143907927,-0.20000000000000284,-0.0431
PT,2025,0.00650081144782888,0.41,10.023933705611995,15.9,0.11755,10.015476054484175,16.4,0.1149,0.008457651127820043,-0.4999999999999982,0.0026499999999999996
RO,2024,-0.03967464373125651,0.32,9.479603858903946,19.1,0.13795000000000002,9.47039427731049,20.9,0.1554,0.009209581593456306,-1.7999999999999972,-0.017449999999999993
RO,2025,-0.08191148313199292,0.48,9.48721424571136,18.6,0.1505,9.479603858903946,19.1,0.13795000000000002,0.007610386807414216,-0.5,0.012549999999999978
SE,2024,-0.019173118699516323,0.58,10.794870648704098,17.7,0.08315,10.77812260914145,18.8,0.09255,0.01674803956264803,-1.1000000000000014,-0.009399999999999992
SE,2025,-0.04386572751722895,0.66,10.804664646600235,17.2,0.08805,10.794870648704098,17.7,0.08315,0.00979399789613744,-0.5,0.004900000000000002
SI,2024,0.08876158994410588,0.52,10.150347630467653,26.1,0.1542,10.133408088129361,26.4,0.19825,0.016939542338292313,-0.29999999999999716,-0.044050000000000006
SK,2024,-0.10447679923597519,0.41,9.857967037234319,23.4,0.1693,9.838949031398556,23.4,0.22615,0.019018005835762963,0.0,-0.056849999999999984
SK,2025,-0.04647842368795452,0.49,9.866304761408411,22.8,0.1656,9.857967037234319,23.4,0.1693,0.008337724174092287,-0.5999999999999979,-0.003700000000000009
