country_code,nace_r2,year,dii_version,dii_high_share
LV,C24_C25,2018,1,0.0165
MT,C,2018,1,0.12300000000000001
MT,C16-C18,2018,1,0.14880000000000002
MT,C24_C25,2018,1,0.0435
NL,C,2018,1,0.2469
NL,C16-C18,2018,1,0.27790000000000004
NL,C24_C25,2018,1,0.1258
NO,C,2018,1,0.3055
NO,C16-C18,2018,1,0.39189999999999997
NO,C24_C25,2018,1,0.22549999999999998
PL,C,2018,1,0.07930000000000001
PL,C16-C18,2018,1,0.0629
PL,C24_C25,2018,1,0.0498
PT,C,2018,1,0.0684
PT,C16-C18,2018,1,0.0752
PT,C24_C25,2018,1,0.053099999999999994
RO,C,2018,1,0.0455
RO,C16-C18,2018,1,0.0316
RO,C24_C25,2018,1,0.055099999999999996
RS,C,2018,1,0.12689999999999999
RS,C16-C18,2018,1,0.10880000000000001
RS,C24_C25,2018,1,0.07769999999999999
SE,C,2018,1,0.3114
SE,C16-C18,2018,1,0.3629
SE,C24_C25,2018,1,0.204
SI,C,2018,1,0.1893
SI,C16-C18,2018,1,0.17739999999999997
SI,C24_C25,2018,1,0.063
SK,C,2018,1,0.0686
SK,C16-C18,2018,1,0.09820000000000001
SK,C24_C25,2018,1,0.0324
UK,C,2018,1,0.1411
UK,C24_C25,2018,1,0.0318
AT,C,2019,1,0.3234
AT,C24_C25,2019,1,0.1773
BE,C24_C25,2019,1,0.1545
BG,C16-C18,2019,1,0.0391
CY,C,2019,1,0.11460000000000001
CY,C16-C18,2019,1,0.183
CY,C24_C25,2019,1,0.1165
CZ,C,2019,1,0.2985
CZ,C16-C18,2019,1,0.1834
CZ,C24_C25,2019,1,0.2253
DE,C,2019,1,0.24989999999999998
DE,C16-C18,2019,1,0.2843
DE,C24_C25,2019,1,0.1791
DK,C,2019,1,0.45280000000000004
DK,C16-C18,2019,1,0.5322
DK,C24_C25,2019,1,0.33129999999999993
EE,C,2019,1,0.17
EE,C16-C18,2019,1,0.18719999999999998
EE,C24_C25,2019,1,0.0974
EL,C16-C18,2019,1,0.0182
EL,C24_C25,2019,1,0.0294
ES,C,2019,1,0.17720000000000002
ES,C24_C25,2019,1,0.0909
FI,C,2019,1,0.5317000000000001
FI,C24_C25,2019,1,0.4233
FR,C,2019,1,0.19349999999999998
FR,C16-C18,2019,1,0.1947
FR,C24_C25,2019,1,0.09519999999999999
HR,C,2019,1,0.1603
HR,C16-C18,2019,1,0.0931
HR,C24_C25,2019,1,0.0683
HU,C,2019,1,0.1015
HU,C16-C18,2019,1,0.08370000000000001
HU,C24_C25,2019,1,0.0471
IE,C,2019,1,0.2713
IE,C16-C18,2019,1,0.3856
IE,C24_C25,2019,1,0.1438
IT,C,2019,1,0.16079999999999997
IT,C16-C18,2019,1,0.1032
IT,C24_C25,2019,1,0.08289999999999999
LT,C,2019,1,0.2621
LT,C16-C18,2019,1,0.24389999999999998
LT,C24_C25,2019,1,0.2259
LU,C,2019,1,0.3496
LU,C24_C25,2019,1,0.2439
LV,C,2019,1,0.07300000000000001
