n2,same_children,anyflag,pop_ratio,pop_bad,pop_unvalidated,n_pat_children,n_gva_children,stable_strict,stable_lenient,stable
DE11,True,False,1.0116884624505194,False,False,13,13,True,True,True
DE12,True,False,1.0155934774608226,False,False,12,12,True,True,True
DE13,True,False,1.0129764147362814,False,False,10,10,True,True,True
DE14,True,False,1.0132739326881977,False,False,9,9,True,True,True
DE21,True,False,1.0064106208298127,False,False,23,23,True,True,True
DE22,True,False,1.006246294178003,False,False,12,12,True,True,True
DE23,True,False,1.0043850518979935,False,False,10,10,True,True,True
DE24,True,False,1.0033694622098113,False,False,13,13,True,True,True
DE25,True,False,1.0098848145310693,False,False,12,12,True,True,True
DE26,True,False,1.0063571091353585,False,False,12,12,True,True,True
DE27,True,False,0.9996722236393558,False,False,14,14,True,True,True
DE30,True,False,1.03113724951946,False,False,1,1,True,True,True
DE40,True,False,1.0119541255902775,False,False,18,18,True,True,True
DE50,True,False,1.0099532246357596,False,False,2,2,True,True,True
DE60,True,False,1.0272568539742848,False,False,1,1,True,True,True
DE71,True,False,1.008894976489382,False,False,14,14,True,True,True
DE72,True,False,1.0074134594502167,False,False,5,5,True,True,True
DE73,True,False,1.0064398281466425,False,False,7,7,True,True,True
DE80,False,True,1.013323334437711,False,False,18,8,False,True,False
DE91,False,True,1.0115384114606494,False,False,11,10,False,True,False
DE92,True,False,1.0121556729791725,False,False,7,7,True,True,True
DE93,True,False,1.0056476126814617,False,False,11,11,True,True,True
DE94,True,False,1.0081924051764524,False,False,17,17,True,True,True
DEA1,True,False,1.0097625265498549,False,False,15,15,True,True,True
DEA2,True,False,1.0129973828591186,False,False,11,11,True,True,True
DEA3,True,False,1.0049201045015805,False,False,8,8,True,True,True
DEA4,True,False,1.0008691285730942,False,False,7,7,True,True,True
DEA5,True,False,1.0125771345708572,False,False,12,12,True,True,True
DEB1,False,True,0.9983172344127565,False,False,11,11,False,True,False
DEB2,True,False,0.9933236158452586,False,False,5,5,True,True,True
DEB3,True,False,1.0040682790113118,False,False,20,20,True,True,True
DEC0,True,False,,False,True,6,6,True,False,True
DED2,True,False,1.0152565235243833,False,False,5,5,True,True,True
DED4,True,False,,False,True,5,5,True,False,True
DED5,True,False,,False,True,3,3,True,False,True
DEE0,True,False,1.014937049411996,False,False,14,14,True,True,True
DEF0,True,False,1.005580879820734,False,False,15,15,True,True,True
DEG0,False,False,1.0135015830192797,False,False,23,22,False,True,False
DK01,True,False,,False,True,4,4,True,False,True
DK02,True,False,,False,True,2,2,True,False,True
DK03,True,False,,False,True,2,2,True,False,True
DK04,True,False,,False,True,2,2,True,False,True
DK05,True,False,,False,True,1,1,True,False,True
DKZZ,False,False,,False,True,0,1,False,False,False
EE00,False,False,0.9986755109837135,False,False,5,5,False,True,False
EL13,False,True,,False,True,1,0,False,False,False
EL14,False,True,,False,True,2,0,False,False,False
EL21,False,True,,False,True,2,0,False,False,False
EL25,False,True,,False,True,4,0,False,False,False
EL30,False,True,0.9973408020403797,False,False,1,7,False,True,False
EL41,False,False,1.001869649064298,False,False,1,3,False,True,False
EL42,True,False,0.9830872906701174,False,False,2,2,True,True,True
EL43,True,False,0.9972478218037812,False,False,4,4,True,True,True
EL51,True,False,0.9883788783591836,False,False,5,5,True,True,True
EL52,True,False,0.9971176954758997,False,False,7,7,True,True,True
EL53,False,False,,False,True,2,3,False,False,False
