country_code,year,verified_emissions_t,log_emissions,d_log_emissions,dii_high_share_manufacturing,dii_version,dii_high_share_d35,dii_high_share_c_or_d35,eibis_digital_multi,gdp_per_capita,d_log_gdp_per_capita,energy_import_dependency_pct,eu_accession_cohort,dii_version_break_vs_prior_year
ES,2007,186573449.0,19.044335547936317,0.03739770271253562,,,,,,25990.0,0.015119497167882301,79.56,EU-15,True
ES,2008,163462312.0,18.91209301408535,-0.13224253385096674,,,,,,25760.0,-0.008888947417245774,81.605,EU-15,True
ES,2009,136935766.0,18.735022512528694,-0.17707050155665627,,,,,,24590.0,-0.046483045008050894,79.549,EU-15,True
ES,2010,121483473.0,18.615288786801322,-0.11973372572737162,,,,,,24510.0,-0.003258658688080729,77.003,EU-15,True
ES,2011,132687966.0,18.70351080943289,0.08822202263156598,,,,,,24260.0,-0.010252294024116537,76.012,EU-15,True
ES,2012,135639644.0,18.72551225062375,0.02200144119086289,,,,,,23560.0,-0.02927854473251834,72.798,EU-15,True
ES,2013,122808166.0,18.626134069837732,-0.09937818078601879,,,,,,23310.0,-0.01066790573572085,69.997,EU-15,True
ES,2014,124851227.0,18.642633402435116,0.016499332597383898,,,,,,23730.0,0.01785761740000602,72.557,EU-15,True
ES,2015,137270031.0,18.73746057306012,0.09482717062500257,0.2061,1,,0.2061,,24720.0,0.04087256214181956,72.741,EU-15,True
ES,2016,123556983.0,18.6322130084294,-0.10524756463071938,0.1642,1,,0.1642,,25420.0,0.027923633171816675,71.486,EU-15,False
ES,2017,136316842.0,18.73049245469713,0.09827944626773188,0.2112,1,,0.2112,,26110.0,0.02678211694973065,73.886,EU-15,False
ES,2018,127373884.0,18.66263728793787,-0.06785516675926218,0.08900000000000001,1,,0.08900000000000001,,26620.0,0.019344430255927136,73.613,EU-15,False
ES,2019,109522705.0,18.51164243732463,-0.15099485061323747,0.17720000000000002,1,,0.17720000000000002,,26930.0,0.011578093856542182,75.034,EU-15,False
ES,2020,89044166.0,18.30464305179751,-0.20699938552712283,0.1386,2,,0.1386,,23850.0,-0.12145668948915755,67.892,EU-15,True
ES,2021,91665975.0,18.333661821479723,0.02901876968221373,0.2127,3,,0.2127,,25440.0,0.06453852113757108,69.38,EU-15,True
ES,2022,96302882.0,18.38300880363103,0.04934698215130595,0.2187,4,,0.2187,,26820.0,0.0528251393816106,74.202,EU-15,True
ES,2023,81133557.0,18.211607206624755,-0.17140159700627322,0.2284,3,,0.2284,0.56,27150.0,0.012229168526411982,68.261,EU-15,True
