dropped,n_dropped_units,n,G,coef,se,p_t_Gm1,p_wild,sample,regression
CZ,14,981,24,0.06751527116733196,0.030358247564954078,0.03625279097656553,0.14302860572114423,NUTS3,A2
DE,381,614,24,0.07341863027563332,0.06217697378138179,0.24974916812265868,0.33526705341068214,NUTS3,A2
DK,11,984,24,0.06652668098357171,0.030391360290427955,0.03900779173629987,0.15923184636927384,NUTS3,A2
EE,3,992,24,0.0672060039073381,0.03019241608895764,0.03610276193652395,0.14962992598519703,NUTS3,A2
EL,35,960,24,0.07238257089058053,0.031141476526538862,0.029296800105217624,0.11242248449689939,NUTS3,A2
ES,54,941,24,0.07075087155442852,0.03118724129057545,0.03299203048377719,0.1300260052010402,NUTS3,A2
FI,8,987,24,0.07697760661354104,0.029995318480965313,0.01726046395031977,0.03660732146429286,NUTS3,A2
FR,98,897,24,0.046924851184199375,0.02492816723099459,0.0724934949697651,0.30586117223444687,NUTS3,A2
HR,4,991,24,0.06785818136850102,0.030235875257560392,0.03473190742318688,0.14622924584916983,NUTS3,A2
HU,20,975,24,0.0655910379386729,0.03043932994851905,0.041884521473009695,0.16743348669733946,NUTS3,A2
IE,4,991,24,0.07003602537462161,0.03040071372350023,0.03061296281796877,0.1284256851370274,NUTS3,A2
IT,102,893,24,0.07809521076627639,0.03386240220935239,0.0304507421314808,0.13062612522504502,NUTS3,A2
LT,10,985,24,0.06678097997131928,0.03038072899145804,0.038269892157757335,0.15543108621724344,NUTS3,A2
LV,2,993,24,0.06758371225823076,0.03020535783315258,0.035235163243615863,0.14822964592918583,NUTS3,A2
MT,2,993,24,0.06770009962603053,0.030172349768255075,0.03476961892452146,0.14682936587317463,NUTS3,A2
NL,23,972,24,0.051426086487620974,0.02686951724505697,0.06815475884929834,0.2988597719543909,NUTS3,A2
PL,51,944,24,0.06309017482336532,0.03042120478552662,0.049469818989147374,0.19243848769753952,NUTS3,A2
PT,5,990,24,0.06699383336889878,0.030031552432594557,0.03573552067519059,0.14342868573714743,NUTS3,A2
RO,39,956,24,0.07050755299481733,0.03131476381403323,0.034201745951685014,0.1278255651130226,NUTS3,A2
SE,20,975,24,0.06457068640844037,0.030758449406749273,0.04696652368642851,0.1842368473694739,NUTS3,A2
SI,7,988,24,0.06785987424346056,0.030428779303069205,0.03578521743518692,0.14222844568913784,NUTS3,A2
SK,8,987,24,0.06745145671184352,0.03020719059079598,0.0355719326414885,0.13902780556111222,NUTS3,A2
AT,35,960,24,0.2315292916141638,0.12443912896010201,0.07563683153678324,0.014402880576115223,NUTS3,A4
BE,36,959,24,0.23426239197937318,0.12542087230166757,0.07458275639158263,0.014802960592118424,NUTS3,A4
BG,23,972,24,0.24322903725922204,0.13135457169955445,0.07695027968425805,0.011202240448089618,NUTS3,A4
CZ,14,981,24,0.23423031426465893,0.12609911106021499,0.07608892392004818,0.013802760552110422,NUTS3,A4
DE,381,614,24,0.34165756488550725,0.14092834260397571,0.02360216687594119,0.022004400880176037,NUTS3,A4
DK,11,984,24,0.23603821603423591,0.12675829695154164,0.07541264188287866,0.01240248049609922,NUTS3,A4
EE,3,992,24,0.2358494600994422,0.1275236241093673,0.07728474080806236,0.013602720544108821,NUTS3,A4
EL,35,960,24,0.27162691962581575,0.13940207544596547,0.06365582901999467,0.0016003200640128026,NUTS3,A4
ES,54,941,24,0.24256567302501042,0.13980468188261838,0.096117660590884,0.021604320864172834,NUTS3,A4
FI,8,987,24,0.24284542836840803,0.12737806926559164,0.06915605829707117,0.007601520304060812,NUTS3,A4
FR,98,897,24,0.2437601468653881,0.13964123941222326,0.09422445020928594,0.01880376075215043,NUTS3,A4
HR,4,991,24,0.22469767800365453,0.12411573359468715,0.08332071736925473,0.017203440688137627,NUTS3,A4
HU,20,975,24,0.24092776422477605,0.12800940546564563,0.07253492534028427,0.01220244048809762,NUTS3,A4
IE,4,991,24,0.24522316995394608,0.128604002907195,0.06911332757511635,0.010402080416083216,NUTS3,A4
IT,102,893,24,0.1356378534373782,0.07397149357324767,0.07967955543497074,0.017803560712142428,NUTS3,A4
LT,10,985,24,0.22254226129781146,0.12589140639197102,0.09037158991759386,0.01980396079215843,NUTS3,A4
LV,2,993,24,0.2359817140916584,0.12561518739468663,0.07303181502927858,0.01280256051210242,NUTS3,A4
MT,2,993,24,0.23592533470147453,0.12545840700023342,0.07276209029795533,0.01260252050410082,NUTS3,A4
NL,23,972,24,0.19820706324667994,0.11209245235137429,0.09028361175486577,0.021004200840168033,NUTS3,A4
PL,51,944,24,0.24048457455273337,0.13131498424984422,0.08003234637088319,0.016203240648129627,NUTS3,A4
PT,5,990,24,0.23450342352719078,0.1252829027636748,0.07400766447815643,0.013402680536107221,NUTS3,A4
RO,39,956,24,0.24003696843749509,0.13299920592752326,0.0842165653548197,0.014802960592118424,NUTS3,A4
SE,20,975,24,0.2349677100463006,0.12661312885756135,0.07634254371969385,0.013802760552110422,NUTS3,A4
SI,7,988,24,0.234755501872268,0.12578259234430492,0.07479334475362154,0.013802760552110422,NUTS3,A4
SK,8,987,24,0.23748533804948982,0.12583033272974803,0.07179746787695174,0.011202240448089618,NUTS3,A4
AT,9,174,18,0.042221859061311005,0.16628653675217267,0.8026104037199375,0.8027605521104221,NUTS2,A4
BE,9,174,18,-0.045525296214098954,0.13051079011271585,0.7315043800322638,0.7975595119023805,NUTS2,A4
BG,3,180,18,0.04415645605119727,0.16457113270411816,0.7916876487475013,0.7997599519903981,NUTS2,A4
CZ,8,175,18,0.039657999330071615,0.1699818568258037,0.8183089500877347,0.8229645929185837,NUTS2,A4
DE,34,149,18,0.010999907357708142,0.18707741007936732,0.9537980997296669,0.9423884776955391,NUTS2,A4
DK,5,178,18,0.029613970949083704,0.1612714346432635,0.85647760945325,0.8559711942388478,NUTS2,A4
EL,6,177,18,0.05660097748688816,0.1791169908916807,0.7558492023028178,0.7669533906781356,NUTS2,A4
ES,16,167,18,0.06986935226917688,0.18272349600705448,0.7069196874532047,0.7277455491098219,NUTS2,A4
FI,2,181,18,0.0748452308442748,0.1734168158026254,0.6714620198937684,0.6867373474694939,NUTS2,A4
FR,24,159,18,0.24030372754685214,0.15611501662581811,0.14214326317237158,0.15563112622524505,NUTS2,A4
HU,8,175,18,0.05957887676264671,0.18187491614230905,0.7472276423578199,0.759751950390078,NUTS2,A4
IT,20,163,18,0.009139363414140856,0.1458133440557889,0.9507535716114848,0.9465893178635727,NUTS2,A4
LT,2,181,18,0.04722142660616343,0.16474765676257327,0.7778604867704391,0.7759551910382076,NUTS2,A4
NL,6,177,18,0.04807902164774956,0.16823350209912108,0.7784940087501302,0.77875575115023,NUTS2,A4
PL,10,173,18,0.026325263924182,0.1680960618866657,0.8773982673132386,0.8657731546309262,NUTS2,A4
PT,3,180,18,0.054961153950767054,0.1671753504053654,0.7463497243244004,0.7465493098619724,NUTS2,A4
RO,6,177,18,0.07060426461925079,0.16663413093376211,0.6770910882069958,0.6857371474294859,NUTS2,A4
SE,8,175,18,0.05569208740037132,0.16884297550364713,0.7455463659126109,0.7415483096619324,NUTS2,A4
SK,4,179,18,0.048408013213406056,0.16688770948418677,0.775276096345975,0.7707541508301661,NUTS2,A4
