county_fips,state_fips,year,total_co2e,total_co2e_excl_petro_ng,n_facilities,log_emissions,d_log_emissions,log_emissions_excl_petro_ng,d_log_emissions_excl_petro_ng,tech_emp_share,emp_total,emp_tech,tech_emp_share_diff
21059,21,2011,3102727.6220000004,3102727.6220000004,4,14.9477921606541,0.07572521045815428,14.9477921606541,0.07572521045815428,,,,
21059,21,2012,2871355.118,2871355.118,4,14.870294642850777,-0.07749751780332303,14.870294642850777,-0.07749751780332303,,,,
21059,21,2013,3161813.5140000004,3161813.5140000004,4,14.966656317782729,0.09636167493195202,14.966656317782729,0.09636167493195202,,,,
21059,21,2014,2617138.914,2617138.914,4,14.777592261494421,-0.18906405628830747,14.777592261494421,-0.18906405628830747,,,,
21059,21,2015,2523358.762,2523358.762,4,14.741101414105577,-0.036490847388844116,14.741101414105577,-0.036490847388844116,0.0017826219822756444,39268.0,70.0,
21059,21,2016,2295510.752,2295510.752,4,14.646465926607297,-0.09463548749828021,14.646465926607297,-0.09463548749828021,0.012117887597865655,40106.0,486.0,0.010335265615590011
21059,21,2017,2231027.642,2231027.642,4,14.617972863297574,-0.0284930633097229,14.617972863297574,-0.0284930633097229,0.0016513271327618447,41179.0,68.0,-0.010466560465103811
21059,21,2018,2606668.822,2606668.822,4,14.773583650707263,0.1556107874096888,14.773583650707263,0.1556107874096888,0.008798152873982258,41145.0,362.0,0.007146825741220414
21059,21,2019,1975074.982,1975074.982,4,14.496116921166305,-0.27746672954095786,14.496116921166305,-0.27746672954095786,0.009596553074813944,40848.0,392.0,0.0007984002008316858
21059,21,2020,798230.564,798230.564,4,13.590152762018782,-0.9059641591475227,13.590152762018782,-0.9059641591475227,0.008542779007683292,38395.0,328.0,-0.0010537740671306521
21059,21,2021,377400.204,377400.204,4,12.841061452456982,-0.7490913095618001,12.841061452456982,-0.7490913095618001,0.008570492299160596,39671.0,340.0,2.771329147730449e-05
21059,21,2022,348834.148,348834.148,4,12.762351867601081,-0.07870958485590052,12.762351867601081,-0.07870958485590052,0.009056078021595262,40194.0,364.0,0.0004855857224346661
21059,21,2023,378133.962,378133.962,4,12.8430038086434,0.08065194104231921,12.8430038086434,0.08065194104231921,0.009360221508906912,40811.0,382.0,0.00030414348731164914
21065,21,2010,84225.6,84225.6,1,11.34125419202498,,11.34125419202498,,,,,
21065,21,2011,78510.2,78510.2,1,11.270983831635242,-0.07027036038973833,11.270983831635242,-0.07027036038973833,,,,
21065,21,2012,42711.8,42711.8,1,10.662230507644242,-0.6087533239909995,10.662230507644242,-0.6087533239909995,,,,
21065,21,2013,71504.0,71504.0,1,11.177508671173232,0.5152781635289898,11.177508671173232,0.5152781635289898,,,,
21065,21,2014,34369.6,34369.6,1,10.444927731719712,-0.7325809394535199,10.444927731719712,-0.7325809394535199,,,,
21065,21,2015,15648.2,15648.2,1,9.658111173379014,-0.7868165583406981,9.658111173379014,-0.7868165583406981,0.02394106813996317,1629.0,39.0,
21065,21,2016,16263.2,16263.2,1,9.696660165706854,0.038548992327839926,9.696660165706854,0.038548992327839926,0.024345709068776627,1643.0,40.0,0.00040464092881345795
21065,21,2017,19312.05,19312.05,1,9.868484532397755,0.17182436669090073,9.868484532397755,0.17182436669090073,0.023563218390804597,1740.0,41.0,-0.0007824906779720295
21065,21,2018,20025.05,20025.05,1,9.904739268812344,0.03625473641458932,9.904739268812344,0.03625473641458932,0.025294117647058825,1700.0,43.0,0.0017308992562542272
21065,21,2019,23732.95,23732.95,1,10.074619656916123,0.16988038810377937,10.074619656916123,0.16988038810377937,0.024812463935372186,1733.0,43.0,-0.00048165371168663873
21065,21,2020,18689.4,18689.4,1,9.835711797205573,-0.23890785971055095,9.835711797205573,-0.23890785971055095,0.026451612903225806,1550.0,41.0,0.0016391489678536202
21065,21,2021,11032.25,11032.25,1,9.308578080565177,-0.527133716640396,9.308578080565177,-0.527133716640396,0.02729693741677763,1502.0,41.0,0.0008453245135518241
21065,21,2022,19848.5,19848.5,1,9.895883716509395,0.5873056359442188,9.895883716509395,0.5873056359442188,0.027249683143219267,1578.0,43.0,-4.725427355836351e-05
