model,target,n,G_clusters,coef,se_cluster,t_stat,ci_lo,ci_hi,p_naive_z,p_t_Gminus1,p_wild_bootstrap,dropped_state_fips
S1 drop 41,tech_emp_share,468,52,-0.08032252672981811,0.1750278557835787,-0.45891281916369137,-0.43170560935411145,0.27106055589447525,0.6462967728025264,0.6482466860872482,,41
S1 drop 42,tech_emp_share,468,52,-0.09385335054585296,0.1749788695052466,-0.5363696245793772,-0.4451380891127986,0.25743138802109267,0.5917031201912653,0.5940351235141785,,42
S1 drop 44,tech_emp_share,468,52,-0.08268355776866347,0.17645926848683086,-0.46857021723873993,-0.43694032130462973,0.27157320576730276,0.6393768697436022,0.6413735380672783,,44
S1 drop 45,tech_emp_share,468,52,-0.08807020694758248,0.17640262337880822,-0.49925678689290187,-0.44221325068401474,0.26607283678884974,0.6175984937810499,0.6197454381404901,,45
S1 drop 46,tech_emp_share,468,52,-0.06696365277628916,0.17458331577854594,-0.38356272750158255,-0.41745428410122254,0.2835269785486443,0.7013025698716961,0.7028969225581592,,46
S1 drop 47,tech_emp_share,468,52,-0.1030489905531925,0.1762567200348919,-0.5846528321461607,-0.4568991211043435,0.2508011399979585,0.5587811756692722,0.561358834313338,,47
S1 drop 48,tech_emp_share,468,52,-0.1026305852507002,0.17641418811765947,-0.5817592470637946,-0.4567968461691581,0.25153567566775775,0.5607288578125118,0.5632916530754322,,48
S1 drop 49,tech_emp_share,468,52,-0.05519623702671479,0.17055716699857706,-0.3236230877778082,-0.39760403740410577,0.2872115633506762,0.7462234063506763,0.7475467825664261,,49
S1 drop 50,tech_emp_share,468,52,-0.08819636305357555,0.172878687281954,-0.5101633083882281,-0.4352648098743331,0.258872083767182,0.6099370553557102,0.6121380189127756,,50
S1 drop 51,tech_emp_share,468,52,-0.09611503908374423,0.19966944281281238,-0.48137079830412954,-0.4969681719027523,0.3047380937352638,0.6302529871698752,0.6323120288940207,,51
S1 drop 53,tech_emp_share,468,52,-0.1959286065259272,0.17438495944385732,-1.1235407408458629,-0.5460210208926004,0.15416380784074601,0.2612079077768297,0.2664689172380734,,53
S1 drop 54,tech_emp_share,468,52,-0.10858039745669498,0.17718380598142433,-0.6128121972279926,-0.4642917307077924,0.24713093579440246,0.5400005249254394,0.5427236650857932,,54
S1 drop 55,tech_emp_share,468,52,-0.09360650090491207,0.17541478106417946,-0.5336294942594605,-0.4457663684428644,0.25855336663304024,0.5935978981150385,0.5959161202451875,,55
S1 drop 56,tech_emp_share,468,52,-0.08932242760353071,0.17828852013017701,-0.5009993214274936,-0.4472515670505023,0.26860671184344087,0.6163716004837871,0.6185271545214999,,56
S1 drop 72,tech_emp_share,468,52,-0.07910711393574721,0.17564286312542057,-0.4503861559080799,-0.43172487531814735,0.27351064744665293,0.6524320255404195,0.6543408773947079,,72
S1 drop 78,tech_emp_share,468,52,-0.12899036363077881,0.17460488098906246,-0.73875577188967,-0.47952428892234866,0.22154356166079103,0.46005531275354006,0.4634417460670788,,78
