freq,unit,inet_tec,terrtypo,geo,time,value
A,PC_HH,5G_GHZ3P4-3P8,DEG3,LT,2022,5.6
A,PC_HH,5G_GHZ3P4-3P8,DEG3,LT,2023,8.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,LT,2024,14.8
A,PC_HH,5G_GHZ3P4-3P8,DEG3,LT,2025,27.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,LU,2022,14.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,LU,2023,14.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,LU,2024,18.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,LU,2025,25.7
A,PC_HH,5G_GHZ3P4-3P8,DEG3,LV,2025,25.7
A,PC_HH,5G_GHZ3P4-3P8,DEG3,MT,2022,4.9
A,PC_HH,5G_GHZ3P4-3P8,DEG3,MT,2023,6.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,MT,2024,10.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,MT,2025,16.4
A,PC_HH,5G_GHZ3P4-3P8,DEG3,NL,2024,97.8
A,PC_HH,5G_GHZ3P4-3P8,DEG3,NL,2025,87.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,NO,2022,6.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,NO,2023,13.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,NO,2024,16.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,NO,2025,18.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,PL,2024,17.4
A,PC_HH,5G_GHZ3P4-3P8,DEG3,PL,2025,25.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,PT,2022,9.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,PT,2023,13.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,PT,2024,21.4
A,PC_HH,5G_GHZ3P4-3P8,DEG3,PT,2025,23.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,RO,2022,2.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,RO,2023,2.6
A,PC_HH,5G_GHZ3P4-3P8,DEG3,RO,2024,3.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,RO,2025,6.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SE,2022,0.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SE,2023,5.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SE,2024,10.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SE,2025,17.9
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SI,2022,9.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SI,2023,22.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,SI,2024,65.7
